paper_id,title,authors,year,venue,doi,peer_reviewed,category,subcategory,relevance_to_my_phd,research_problem,method,network_layer,ai_method,optimization_method,evaluation_quality,reproducibility_quality,potential_followup,source_url
F17,Deep Reinforcement Learning-Based Routing on Software-Defined Networks,Gyungmin Kim; Yohan Kim; Hyuk Lim,2022,IEEE Access,10.1109/access.2022.3151081,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,DRL-based routing in software-defined networks to improve throughput/delay versus shortest-path routing.,Deep reinforcement learning (DQN/DDQN family).,Transport (SDN),DRL,DRL,WEAK,WEAK,NA,https://doi.org/10.1109/ACCESS.2022.3143870
F19,Latency-Aware Service Function Chain Placement in 5G Mobile Networks,Davit Harutyunyan; Nashid Shahriar; Raouf Boutaba; Roberto Riggio,2019,2019 IEEE Conference on Network Softwarization (NetSoft),10.1109/netsoft.2019.8806646,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,MEDIUM,Latency-aware service function chain placement in 5G mobile networks: where to instantiate each VNF so that end-to-end latency budgets are met.,Placement optimisation (heuristic/exact) exposed through a NetSoft demo implementation.,Edge / core (SFC placement),NA,Combinatorial optimisation,WEAK,WEAK,NA,https://doi.org/10.1109/NETSOFT.2019.8806679
F20,Joint Optimization of Service Function Chaining and Resource Allocation in Network Function Virtualization,Luhan Wang; Zhaoming Lu; Xiangming Wen; Raymond Knopp; Rohit Gupta,2016,IEEE Access,10.1109/access.2016.2629278,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,MEDIUM,"Joint optimisation of service function chaining (which VNFs, in which order) and resource allocation (how much CPU/bandwidth each gets).",Mixed-integer optimisation with a heuristic/decomposition solution.,Core / cloud (NFV),NA,MILP + heuristics,WEAK,WEAK,NA,https://doi.org/10.1109/ACCESS.2016.2646308
F21,Adaptive Service Function Chain Scheduling in Mobile Edge Computing via Deep Reinforcement Learning,Tianfeng Wang; Jiachen Zu; Guyu Hu; Dongyang Peng,2020,IEEE Access,10.1109/access.2020.3022038,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,Adaptive scheduling of service function chains in mobile edge computing under dynamic demand.,Deep reinforcement learning for SFC scheduling.,MEC / edge,DRL,DRL,WEAK,WEAK,NA,https://doi.org/10.1109/ACCESS.2020.3022706
F29,QoS-Aware and Reliable Traffic Steering for Service Function Chaining in Mobile Networks,Ruozhou Yu; Guoliang Xue; Xiang Zhang,2017,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2017.2760158,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,MEDIUM,QoS-aware and reliable traffic steering for service function chaining in mobile networks: choosing which chain instance handles each flow so that QoS and reliability targets hold.,Optimisation model with heuristic solution (QoS-aware and reliability-aware steering).,Mobile core / transport (SFC),NA,Combinatorial optimisation,WEAK,WEAK,NA,https://doi.org/10.1109/JSAC.2017.2774429
F30,Packet Scheduling Algorithms for Mixed Traffic Flow over HSDPA,Jianke Fan; Chen Tao,2007,"2007 IEEE 18th International Symposium on Personal, Indoor and Mobile Radio Communications",10.1109/pimrc.2007.4394293,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,LOW,Packet scheduling algorithms for mixed traffic (streaming + best-effort) over HSDPA.,Comparative study of packet scheduling algorithms (e.g. proportional fair and QoS-aware variants).,RAN (packet scheduling),NA,Heuristic scheduling rules,WEAK,WEAK,NA,https://doi.org/10.1109/ISCC.2007.4381499
F31,Joint Routing and Packet Scheduling For URLLC and eMBB Traffic in 5G O-RAN,Cheng Cheng Zhang; Kim Khoa Nguyen; Mohamed Cheriet,2022,IEEE International Conference on Communications (ICC) Workshops,10.1109/ICC45855.2022.9838575,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,MEDIUM,Joint routing and packet scheduling for coexisting URLLC and eMBB traffic in 5G O-RAN.,Optimisation/heuristic joint routing-scheduling with O-RAN control-loop integration.,O-RAN (joint routing and packet scheduling),NA,Combinatorial optimisation,WEAK,WEAK,NA,https://doi.org/10.1109/ICCWorkshops53468.2022.9814680
F32,Enabling efficient routing for traffic engineering in SDN with Deep Reinforcement Learning,Xinglong Pei; Penghao Sun; Yuxiang Hu; Dan Li; Bo Chen; Le Tian,2024,Computer Networks,10.1016/j.comnet.2024.110220,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,Efficient routing for traffic engineering in SDN using deep reinforcement learning.,Deep reinforcement learning routing agent.,Transport (SDN),Agent; DRL,DRL,WEAK,WEAK,NA,https://doi.org/10.1016/j.comnet.2024.110489
F38,End-to-end Network Slicing for 5G Mobile Networks,Akihiro Nakao; Ping Du; Yoshiaki Kiriha; Fabrizio Granelli; Anteneh Atumo Gebremariam; Tarik Taleb; Miloud Bagaa,2017,Journal of Information Processing,10.2197/ipsjjip.25.153,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,End-to-end network slicing for 5G mobile networks: how to compose and manage slices across all network segments.,Architectural design with resource-allocation procedures.,End-to-end (RAN + core + transport),NA,Combinatorial optimisation,WEAK,WEAK,NA,https://doi.org/10.2197/ipsjjip.25.772
O02,On Multi-Domain Network Slicing Orchestration Architecture and Federated Resource Control,Tarik Taleb; Ibrahim Afolabi; Konstantinos Samdanis; Faqir Zarrar Yousaf,2020,Computer Networks,10.1016/j.comnet.2019.106984,Yes,Other,Other,HIGH,Multi-domain federation has no standard cross-domain information exchange; the decision engine that would drive it (learning-based or LLM-based) is absent.,NA,Multi-domain (RAN/core/transport across operators),LLM,NR,WEAK,WEAK,Multi-domain federation has no standard cross-domain information exchange; the decision engine that would drive it (learning-based or LLM-based) is absent.,https://doi.org/10.1109/MNET.2019.1800204
O03,"5G network slicing using SDN and NFV: A survey of taxonomy, architectures and future challenges",Alcardo Alex Barakabitze; Arslan Ahmad; Rashid Mijumbi; Andrew Hines,2020,Computer Networks,10.1016/j.comnet.2019.106984,Yes,Other,Other,HIGH,Provides the taxonomy against which newer AI-native orchestrators should be positioned.,NA,"End-to-end (RAN, transport, core)",LLM,Surveyed,NA,WEAK,Provides the taxonomy against which newer AI-native orchestrators should be positioned.,https://doi.org/10.1016/j.comnet.2018.12.005
O04,Intent-Based Management of Next-Generation Networks: an LLM-Centric Approach,Abdelkader Mekrache; Adlen Ksentini; Christos Verikoukis,2024,IEEE Network,10.1109/MNET.2024.3420120,Yes,Other,Other,HIGH,Intent translation is demonstrated but intent assurance (does the network actually satisfy the intent?) and closed-loop correction remain open.,NA,End-to-end management and orchestration,LLM,LLM prompting,WEAK,WEAK,Intent translation is demonstrated but intent assurance (does the network actually satisfy the intent?) and closed-loop correction remain open.,https://doi.org/10.1109/MNET.2024.3420120
O05,AI-Driven Zero Touch Network and Service Management in 5G and Beyond: Challenges and Research Directions,Chafika Benzaid; Tarik Taleb,2020,IEEE Network,10.1109/mnet.001.1900252,Yes,Other,Other,HIGH,"Defines the closed-loop ZSM target that later LLM/agent work must satisfy; the hard problems it lists (conflict resolution, assurance, multi-domain) are still open.",NA,End-to-end (network and service management),LLM; Agent; DRL,ML/DRL proposed,WEAK,MODERATE,"Defines the closed-loop ZSM target that later LLM/agent work must satisfy; the hard problems it lists (conflict resolution, assurance, multi-domain) are still open.",https://doi.org/10.1109/MNET.001.1900252
O06,Toward Zero-Touch Management and Orchestration of Massive Deployment of Network Slices in 6G,Hatim Chergui; Adlen Ksentini; Luis Blanco; Christos Verikoukis,2022,IEEE Wireless Communications,10.1109/MWC.009.00366,Yes,Other,Other,HIGH,Scale and lifecycle automation of very large slice counts remains unvalidated; concrete decision engines are not specified.,NA,Multi-domain / massive slice deployment,NA,AI/ML,WEAK,MODERATE,Scale and lifecycle automation of very large slice counts remains unvalidated; concrete decision engines are not specified.,https://doi.org/10.1109/MWC.009.00366
O08,A Cloud-Native Approach to 5G Network Slicing,Sameerkumar Sharma; Raymond Miller; Andrea Francini,2017,IEEE Communications Magazine,NA,Yes,Other,Other,MEDIUM,The cloud-native substrate for slice orchestration is described but joint optimisation of container placement and network resources is not solved.,NA,Core / cloud-native,NA,NR,WEAK,WEAK,The cloud-native substrate for slice orchestration is described but joint optimisation of container placement and network resources is not solved.,https://doi.org/10.1109/MCOM.2017.1600924
O09,Orchestrating Virtualized Network Functions,Faizul Bari; Shihabur Rahman Chowdhury; Reaz Ahmed; Raouf Boutaba; Otto Carlos Muniz Bandeira Duarte,2016,IEEE Transactions on Network and Service Management,10.1109/TNSM.2016.2569020,Yes,Other,Other,HIGH,"Placement/ chaining optimisation is solved offline; online, learning-based and SLA-assured orchestration is not addressed - the gap later filled (partly) by DRL-based placement work.",NA,Core / cloud (NFV),DRL,Exact/heuristic optimisation of placement + chaining,MODERATE,MODERATE,"Placement/ chaining optimisation is solved offline; online, learning-based and SLA-assured orchestration is not addressed - the gap later filled (partly) by DRL-based placement work.",https://doi.org/10.1109/TNSM.2016.2569020
O10,A Survey on the Placement of Virtual Resources and Virtual Network Functions,Abdelquoddouss Laghrissi; Tarik Taleb,2019,IEEE Communications Surveys & Tutorials,NA,Yes,Other,Other,HIGH,"The survey's own open-issues list (online, multi-objective, multi-domain placement) remains relevant and is only partly addressed by later DRL work.",NA,Core / cloud (NFV),DRL,"Surveyed (MILP, heuristics, metaheuristics)",NA,WEAK,"The survey's own open-issues list (online, multi-objective, multi-domain placement) remains relevant and is only partly addressed by later DRL work.",https://doi.org/10.1109/COMST.2018.2884835
O16,Open RAN xApps Design and Evaluation: Lessons Learnt and Identified Challenges,Marcin Hoffmann; Salim Janji; Adam Samorzewski; Łukasz Kułacz; Cezary Adamczyk; Marcin Dryjański; Pawel Kryszkiewicz; Adrian Kliks; Hanna Bogucka,2024,IEEE Journal on Selected Areas in Communications,NA,Yes,Other,Other,HIGH,xApp conflict mitigation and multi-xApp coordination in the RIC - the gap that later distillation/agent work targets.,NA,O-RAN,Agent,xApp-specific,MODERATE,WEAK,xApp conflict mitigation and multi-xApp coordination in the RIC - the gap that later distillation/agent work targets.,https://doi.org/10.1109/JSAC.2023.3336186
O22,"Explainable AI in 6G O-RAN: A Tutorial and Survey on Architecture, Use Cases, Challenges, and Future Research",Bouziane Brik; Hatim Chergui; Lanfranco Zanzi; Francesco Devoti; Adlen Ksentini; Muhammad Shuaib Siddiqui; Xavier Costa-Pérez; Christos Verikoukis,2025,IEEE Communications Surveys & Tutorials,NA,Yes,Other,Other,HIGH,Explainability and trust requirements for AI-native O-RAN control are defined but rarely implemented in closed-loop orchestrators - highly relevant to LLM-agent adoption.,NA,O-RAN,LLM; Agent,Surveyed,NA,WEAK,Explainability and trust requirements for AI-native O-RAN control are defined but rarely implemented in closed-loop orchestrators - highly relevant to LLM-agent adoption.,https://doi.org/10.1109/COMST.2024.3492168
O23,Resource Management From Single-Domain 5G to End-to-End 6G Network Slicing: A Survey,Sina Ebrahimi; Faouzi Bouali; Olivier C. L. Haas,2024,IEEE Communications Surveys & Tutorials,10.1109/COMST.2024.3390613,Yes,Other,Other,HIGH,Directly states the multi-domain end-to-end resource-management gap that a cross-domain AI orchestrator would address.,NA,End-to-end slicing / resource management,DRL,Surveyed,NA,WEAK,Directly states the multi-domain end-to-end resource-management gap that a cross-domain AI orchestrator would address.,https://doi.org/10.1109/COMST.2024.3350256
O24,"A Survey on Large Language Models for Communication, Network, and Service Management: Application Insights, Challenges, and Future Directions",Gordon Owusu Boateng; Hani Sami; Ahmed Alagha; Hanae Elmekki; Ahmad Hammoud; Rabeb Mizouni; Azzam Mourad; Hadi Otrok; Jamal Bentahar; Sami Muhaidat; Chamseddine Talhi; Zbigniew Dziong,2026,IEEE Communications Surveys & Tutorials,NA,Yes,Other,Other,HIGH,"Confirms that LLM-based management is mostly advisory and that closed-loop, SLA-scored LLM control is unproven.",NA,"Communication, network and service management",LLM,Surveyed,NA,MODERATE,"Confirms that LLM-based management is mostly advisory and that closed-loop, SLA-scored LLM control is unproven.",https://doi.org/10.1109/COMST.2025.3548039
O27,A Multi-Agent Reinforcement Learning Architecture for Network Slicing Orchestration,Federico Mason; Gianfranco Nencioni; Andrea Zanella,2021,2021 19th Mediterranean Communication and Computer Networking Conference (MedComNet),10.1109/medcomnet52149.2021.9501279,Yes,Other,Other,HIGH,"Multi-agent slice allocation exists, but coupling it to MANO lifecycle operations and to closed-loop SLA assurance is open.",NA,End-to-end slicing (orchestration),Agent; Multi_Agent; DRL,MARL (multi-agent RL),MODERATE,WEAK,"Multi-agent slice allocation exists, but coupling it to MANO lifecycle operations and to closed-loop SLA assurance is open.",https://doi.org/10.1109/MedComNet52149.2021.9501271
O28,AI-NATIVE 6G: AUTONOMOUS HIERARCHICAL AGENTIC RAN AND CORE ORCHESTRATION,Rallabandi Bhaskara Raju,2025,Journal of Science Engineering Technology and Management Sciences,10.64771/jsetms.2025.v02.i04.pp171-177,Yes,Other,Other,HIGH,Hierarchical agentic orchestration across RAN and core is exactly the cross-domain combination this PhD targets; the paper's evaluation depth needs verification.,NA,RAN and core,Agent,NA,WEAK,WEAK,Hierarchical agentic orchestration across RAN and core is exactly the cross-domain combination this PhD targets; the paper's evaluation depth needs verification.,https://doi.org/10.64771/jsetms.2025.v02.i04.pp171-177
M01,TCP Extensions for Multipath Operation with Multiple Addresses (RFC 8684),A. Ford; C. Raiciu; M. Handley; O. Bonaventure,2020,IETF RFC (Internet Standard track),10.17487/RFC8684,No,Other,Other,HIGH,The RFC exposes a pluggable scheduler point that learning-based and orchestrator-driven schedulers can occupy - but the standard provides no mechanism to signal network-level (orchestrator/slice) objectives into the scheduler.,Standard specification (not an algorithm paper); default scheduler is a simple policy and is explicitly left replaceable,Sender-side MPTCP path manager/scheduler,NA,NA,WEAK,MODERATE,The RFC exposes a pluggable scheduler point that learning-based and orchestrator-driven schedulers can occupy - but the standard provides no mechanism to signal network-level (orchestrator/slice) objectives into the scheduler.,https://doi.org/10.17487/RFC8684
M02,MultiPath TCP: From Theory to Practice,Sébastien Barré; Christoph Paasch; Olivier Bonaventure,2011,Lecture Notes in Computer Science,10.1007/978-3-642-20757-0_35,Yes,Other,Other,HIGH,"Motivated the entire subsequent scheduler literature: simple heuristics misbehave on heterogeneous paths, which is the problem DRL schedulers later attack.",Default MPTCP scheduler (lowest-RTT-first family) with coupled congestion control,"Sender-side, kernel implementation",DRL,NA,MODERATE,MODERATE,"Motivated the entire subsequent scheduler literature: simple heuristics misbehave on heterogeneous paths, which is the problem DRL schedulers later attack.",https://doi.org/10.1007/978-3-642-20757-0_21
M03,"Design, Implementation and Evaluation of Congestion Control for Multipath TCP",Régel González Usach; Mirja Kühlewind,2012,USENIX Symposium on Networked Systems Design and Implementation (NSDI),NA,Yes,Other,Other,HIGH,Establishes that congestion control and scheduling must be co-designed - the insight that motivated later joint DRL schedulers.,Coupled congestion control algorithm (LIA-style fluid model with a coupled increase/ decrease rule),Sender-side congestion control (kernel),DRL,NA,MODERATE,MODERATE,Establishes that congestion control and scheduling must be co-designed - the insight that motivated later joint DRL schedulers.,https://www.usenix.org/conference/nsdi12/technical-sessions/presentation/wischik
M04,Experimental evaluation of multipath TCP schedulers,Christoph Paasch; Simone Ferlin; Ozgu Alay; Olivier Bonaventure,2014,Proceedings of the 2014 ACM SIGCOMM workshop on Capacity sharing workshop,10.1145/2630088.2631977,Yes,Other,Other,MEDIUM,Canonical evidence that naive multipath scheduling causes head-of-line blocking - the baseline any new scheduler must beat.,Comparison of default (lowest-RTT-first) against alternatives,Sender-side default and alternative schedulers,No AI method,NA,MODERATE,MODERATE,Canonical evidence that naive multipath scheduling causes head-of-line blocking - the baseline any new scheduler must beat.,https://doi.org/10.1145/2630088.2631977
M05,Low-Latency Scheduling in MPTCP,Per Hurtig; Karl-Johan Grinnemo; Anna Brunstrom; Simone Ferlin; Ozgu Alay; Nicolas Kuhn,2019,IEEE/ACM Transactions on Networking,10.1109/tnet.2018.2884791,Yes,Other,Other,HIGH,A strong classical latency-oriented baseline that learning-based schedulers must outperform - and a natural candidate for the 'scheduler' slot in a hybrid LLM/DRL controller.,Latency-optimised scheduling rules derived from an analysis of the delay components of MPTCP,Sender-side kernel scheduler,LLM; DRL,NA,MODERATE,WEAK,A strong classical latency-oriented baseline that learning-based schedulers must outperform - and a natural candidate for the 'scheduler' slot in a hybrid LLM/DRL controller.,https://doi.org/10.1109/TNET.2018.2884791
M06,Multipath QUIC,Quentin De Coninck; Olivier Bonaventure,2017,Proceedings of the 13th International Conference on emerging Networking EXperiments and Technologies (ACM CoNEXT),10.1145/3143361.3143370,Yes,Other,Other,HIGH,Opens the MPQUIC scheduler design space that later learning-based MPQUIC schedulers (e.g. multi-agent RL and PPO-based approaches) occupy.,Multipath QUIC design with a lowest-RTT style scheduler; the paper's contribution is the protocol extension and its evaluation,Sender-side QUIC stack (userspace),Agent; Multi_Agent; DRL,NA,WEAK,MODERATE,Opens the MPQUIC scheduler design space that later learning-based MPQUIC schedulers (e.g. multi-agent RL and PPO-based approaches) occupy.,https://doi.org/10.1145/3143361.3143370
M07,The QUIC Transport Protocol: Design and Internet-Scale Deployment,Adam Langley; Alistair Riddoch; Alyssa Wilk; Antonio Vicente; Charles Krasic; Dan Zhang; Fan Yang; Fedor Kouranov; Ian Swett; Janardhan Iyengar; Jeff Bailey; Jeremy Dorfman,2017,Proceedings of the Conference of the ACM Special Interest Group on Data Communication (ACM SIGCOMM),10.1145/3098822.3098842,Yes,Other,Other,MEDIUM,QUIC's connection-level packet number space is the enabler for MPQUIC schedulers that must reason about reordering - context for any AI scheduler targeting MPQUIC.,Protocol design plus large-scale measurement,N/A (endpoint transport stack),NA,NA,WEAK,MODERATE,QUIC's connection-level packet number space is the enabler for MPQUIC schedulers that must reason about reordering - context for any AI scheduler targeting MPQUIC.,https://doi.org/10.1145/3098822.3098842
M08,ReLeS: A Neural Adaptive Multipath Scheduler based on Deep Reinforcement Learning,Han Zhang; Wenzhong Li; Shaohua Gao; Xiaoliang Wang; Baoliu Ye,2019,IEEE INFOCOM 2019 - IEEE Conference on Computer Communications,10.1109/infocom.2019.8737649,Yes,Other,Other,HIGH,"ReLeS is the canonical 'DRL scheduler for MPTCP' citation, yet its design is not openly reproducible. A PhD contribution could be a fully open, reproducible DRL/LLM scheduler with published state/action/reward and code.","Deep reinforcement learning producing the scheduling policy, plus an asynchronous training algorithm that decouples packet scheduling, data collection and neural-network training so scheduling can run in real time",Linux kernel (implementation stated in the abstract); a separate training process runs asynchronously,LLM; DRL,NA,MODERATE,MODERATE,"ReLeS is the canonical 'DRL scheduler for MPTCP' citation, yet its design is not openly reproducible. A PhD contribution could be a fully open, reproducible DRL/LLM scheduler with published state/action/reward and code.",https://doi.org/10.1109/INFOCOM.2019.8737649
M09,DeepCC: Multi-Agent Deep Reinforcement Learning Congestion Control for Multi-Path TCP Based on Self-Attention,Bo He; Jingyu Wang; Qi Qi; Haifeng Sun; Jianxin Liao; Chunning Du; Xiang Yang; Zhu Han,2021,IEEE Transactions on Network and Service Management,10.1109/tnsm.2021.3093302,Yes,Other,Other,HIGH,"DeepCC shows that learning can jointly control congestion control and split ratio, but it is invisible to the network: no slice/SLA objective, no orchestrator interface, no ATSSS/UPF integration. Connecting such a scheduler to an orchestrator that supplies objectives is an open problem.","MAPOKTR - Multi-Agent Policy Optimization using Kronecker-Factored Trust Region (ACKTR-derived with K-FAC natural gradient, PPO-style clipped ratio and a point-probability-distance penalty); one agent per subflow; BiLSTM (size 32) encoder over other subflows' states with self-attention","Sender side, split kernel (data path, sysctl state) / userspace (DRL agents)",Agent; Multi_Agent; DRL,NA,STRONG,MODERATE,"DeepCC shows that learning can jointly control congestion control and split ratio, but it is invisible to the network: no slice/SLA objective, no orchestrator interface, no ATSSS/UPF integration. Connecting such a scheduler to an orchestrator that supplies objectives is an open problem.",https://doi.org/10.1109/TNSM.2021.3093302
M10,Leveraging Coupled BBR and Adaptive Packet Scheduling to Boost MPTCP,Jiangping Han; Kaiping Xue; Yitao Xing; Jian Li; Wenjia Wei; David S. L. Wei; Guoliang Xue,2021,IEEE Transactions on Wireless Communications,10.1109/twc.2021.3085661,Yes,Other,Other,MEDIUM,"Demonstrates CC-scheduler coupling - evidence that schedulers cannot be designed in isolation from the controller, which strengthens the case for joint learning-based control.",Adaptive packet scheduling coupled to BBR,Sender-side MPTCP stack,No AI method,NA,STRONG,MODERATE,"Demonstrates CC-scheduler coupling - evidence that schedulers cannot be designed in isolation from the controller, which strengthens the case for joint learning-based control.",https://doi.org/10.1109/TWC.2021.3062082
M11,BBR-Based Congestion Control and Packet Scheduling for Bottleneck Fairness Considered Multipath TCP in Heterogeneous Wireless Networks,Wenjia Wei; Kaiping Xue; Jiangping Han; Yitao Xing; David S. L. Wei; Peilin Hong,2021,IEEE Transactions on Vehicular Technology,10.1109/tvt.2020.3047877,Yes,Other,Other,HIGH,Fairness across multipath subflows is treated as a transport-level concern; network-level fairness (across slices/tenants) is not considered - a gap for orchestrator-integrated multipath.,BBR-based coupled control with a fairness-aware scheduler,Sender-side MPTCP stack,No AI method,NA,STRONG,MODERATE,Fairness across multipath subflows is treated as a transport-level concern; network-level fairness (across slices/tenants) is not considered - a gap for orchestrator-integrated multipath.,https://doi.org/10.1109/TVT.2020.2978265
