paper_id,title,authors,year,venue,doi,peer_reviewed,network_generation,domain,orchestrator_type,architecture,control_plane,managed_resources,input,output,interfaces,centralized_or_distributed,single_or_multidomain,closed_loop,sla_support,network_slicing,cloud_native,kubernetes,oran,optimization,ml,agent,llm,evaluation_platform,network_scale,baselines,metrics,main_results,limitations,research_gap,github,source_url
O23,Resource Management From Single-Domain 5G to End-to-End 6G Network Slicing: A Survey,Sina Ebrahimi; Faouzi Bouali; Olivier C. L. Haas,2024,IEEE Communications Surveys & Tutorials,10.1109/COMST.2024.3390613,Yes,5G to 6G,End-to-end slicing / resource management,G - survey/tutorial,Survey of resource management from single-domain 5G to end-to-end 6G network slicing.,"Surveyed (3GPP, ETSI, O-RAN)",Surveyed,N/A,N/A,Surveyed,Surveyed,Both surveyed,Surveyed,Surveyed,Yes,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed (incl. DRL),No,No,N/A (survey),N/A,N/A,N/A,N/A (survey),Survey - documents that end-to-end multi-domain slicing resource management remains open.,Directly states the multi-domain end-to-end resource-management gap that a cross-domain AI orchestrator would address.,NA,https://doi.org/10.1109/COMST.2024.3350256
O24,"A Survey on Large Language Models for Communication, Network, and Service Management: Application Insights, Challenges, and Future Directions",Gordon Owusu Boateng; Hani Sami; Ahmed Alagha; Hanae Elmekki; Ahmad Hammoud; Rabeb Mizouni; Azzam Mourad; Hadi Otrok; Jamal Bentahar; Sami Muhaidat; Chamseddine Talhi; Zbigniew Dziong,2026,IEEE Communications Surveys & Tutorials,NA,Yes,5G/6G,"Communication, network and service management",G - survey/tutorial (LLM for network/service management),"Survey of LLMs applied to communication, network and service management.",Surveyed,Surveyed,N/A,N/A,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Yes,N/A (survey),N/A,N/A,N/A,N/A (survey),Survey - the most current consolidated picture of LLM-based management; necessarily incomplete for 2026 work.,"Confirms that LLM-based management is mostly advisory and that closed-loop, SLA-scored LLM control is unproven.",NA,https://doi.org/10.1109/COMST.2025.3548039
O27,A Multi-Agent Reinforcement Learning Architecture for Network Slicing Orchestration,Federico Mason; Gianfranco Nencioni; Andrea Zanella,2021,2021 19th Mediterranean Communication and Computer Networking Conference (MedComNet),10.1109/medcomnet52149.2021.9501279,Yes,5G,End-to-end slicing (orchestration),B - optimisation/learning algorithm usable by an orchestrator,Multi-agent reinforcement learning architecture for network slice orchestration: agents manage slice resource allocation collaboratively.,Management/orchestration layer (conceptual mapping),Slice resources (compute/network),Slice demand and state,Resource allocation per slice,NR,Distributed multi-agent with coordination,Single domain,Yes (RL feedback loop),Yes (slice requirements in reward),Yes,NR,No,No,MARL (multi-agent RL),Yes (MARL),Yes (RL agents),No,Simulation (platform NR),NR,NR,Slice-level resource/utility metrics,NR,"Focuses on the learning algorithm for slice resource allocation; slice lifecycle management and MANO integration are out of scope, so it is an allocation engine rather than a full orchestrator.","Multi-agent slice allocation exists, but coupling it to MANO lifecycle operations and to closed-loop SLA assurance is open.",NA,https://doi.org/10.1109/MedComNet52149.2021.9501271
O28,AI-NATIVE 6G: AUTONOMOUS HIERARCHICAL AGENTIC RAN AND CORE ORCHESTRATION,Rallabandi Bhaskara Raju,2025,Journal of Science Engineering Technology and Management Sciences,10.64771/jsetms.2025.v02.i04.pp171-177,Yes,6G,RAN and core,F/E - agentic orchestration architecture (hierarchical agentic RAN and core),Autonomous hierarchical agentic orchestration spanning RAN and core for AI-native 6G,NA,NA,NA,NA,NA,NA,NA,Intended,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Journal of limited visibility; retrieved at metadata level in this session.,Hierarchical agentic orchestration across RAN and core is exactly the cross-domain combination this PhD targets; the paper's evaluation depth needs verification.,NA,https://doi.org/10.64771/jsetms.2025.v02.i04.pp171-177
O31,Network Service Orchestration: A survey,NA,2019,Computer Communications,10.1016/j.comcom.2019.04.008,Yes,5G and earlier,End-to-end (multi-domain network services),G - survey/tutorial (defines the orchestration taxonomy used here),"Defines three orchestrator functional scopes: Service Orchestration (service composition, marketplace/OSS-BSS interface), Lifecycle Orchestration (workflows, dependencies, maintaining services per the contracted SLA), and Resource Orchestration (mapping service requests onto virtual/physical resources across NFVO, EMS and SDN controllers).","ETSI NFV MANO is the anchor; MEF LSO, TM Forum, IETF, OASIS/TOSCA, ONF, ITU, NGMN also covered","Compute, storage and network resources across heterogeneous infrastructures; VNFs; multi-VIM infrastructure; slices ('Slice as a Service')",N/A,N/A,"REST-dominant; TOSCA (Simple Profile in YAML v1.2, TOSCA for NFV v1.0); NETCONF/YANG; OpenFlow extensions; ETSI multi-domain reference points Umbrella NFVO and Or-Or",Surveyed,"Both, with explicit treatment of multi-technology and multi-administrative-domain orchestration",Not formalised,Yes conceptually - lifecycle orchestration maintains services per the contracted SLA; enforcement mechanism NOT REPORTED,Surveyed,Partly (Kubernetes and container orchestration platforms surveyed),Surveyed,No,Surveyed,Surveyed,No,No,N/A (survey),N/A,N/A,N/A,N/A (survey),"Qualitative taxonomy, snapshot pre-2020, no quantitative benchmarking, and ML/AI-driven orchestration is essentially absent from its coverage.","The survey states that cross-domain information exchange 'is not a standard' and that orchestrators are largely logically centralised over softwarised infrastructure - leaving open standardised cross-domain intent exchange, closed-loop SLA enforcement with measurable guarantees, and an AI control layer above MANO.",NA,https://doi.org/10.1016/j.comcom.2019.04.008
O32,Knowledge-Defined Networking,NA,2017,ACM SIGCOMM Computer Communication Review,10.1145/3138808.3138810,Yes,Generic,End-to-end (knowledge plane),"D - orchestration architecture (knowledge plane) - position paper, not an implementation","A knowledge plane above the data and control planes, combining ML and reasoning to automate network operation; the plane observes, learns and issues decisions to the control plane.",Knowledge plane above an SDN control plane,Network-wide resources,Network telemetry and state,Policies and control actions derived from learned knowledge,Northbound interfaces to the control plane,Logically centralised knowledge plane,Single domain,Yes conceptually,NR,No,No,No,No,ML + reasoning,Yes (conceptual),No,No,"Prototype experiments on a small emulated network (about 12 overlay nodes, 19 underlay elements, 72 links) using OMNeT++ with Open vSwitch and Snort on an ESXi host","12 overlay nodes, 19 underlay elements, 72 links",N/A,N/A,"The learned overlay model reaches a relative error of roughly 1% with 3,000 training samples; the NFV CPU model is presented as a CDF figure without a number.","Vision/position paper with a small prototype; it does not solve how the knowledge plane makes safe or verifiable decisions, nor how it is governed.",KDN is the conceptual ancestor of LLM/agent orchestrators; its unsolved problem - verifiable autonomous decision-making above the control plane - is exactly what current agentic orchestration still lacks.,NA,https://doi.org/10.1145/3138808.3138810
O33,An Autonomous Network Orchestration Framework Integrating Large Language Models with Continual Reinforcement Learning,NA,2025,IEEE (venue to be confirmed; IEEE Xplore document 11103499),NA,Yes,6G (SAGIN),Multi-domain (ground/air/space),F - LLM-based orchestrator (LLM planner + RL executors),"ARC: two-tier orchestrator. Tier 1 is a RAG-based LLM (LLaMA 3.1-8B, not fine-tuned) that sequences users and tracks the active objective; Tier 2 is a set of specialised Double Dueling Deep Q-Learning agents (one per action type, Mixture-of-Experts style). Static and Dynamic Knowledge Bases hold service specifications, objective profiles, action profiles, state history and [input, CoT, output] reasoning exemplars.",Not mapped to any standard management plane (no ETSI ZSM/ONAP/OSM/O-RAN SMO named),"Compute (node MIPS), storage, link bandwidth and latency, radio channel assignment, transmit power, routing paths","Strategist commands; user service requests; semantic QoE feedback; per-(user,service,resource) state; service specifications; action profiles","Ordered user sequence plus per user: hosting node per functional block, compute and storage allocation, routing path",Internal LLM prompts only,"Hierarchical (one central LLM sequencer, distributed RL agents)",Multi-domain (terrestrial + airborne + space),"Yes (per time slot: monitor, evaluate QoE, allocate, apply, reward, update)",Semantic QoE threshold instead of a formal SLA object,No,NA,NA,No,Hybrid: LLM reasoning + D3QL RL agents + offline mathematical solvers to bootstrap exemplars,Yes,Yes (LLM sequencer + RL executors),"Yes - LLaMA 3.1-8B, no fine-tuning, RAG + CoT few-shot with contrastive exemplars",Bespoke numerical simulation,"10 nodes (half non-terrestrial), 10 users, one functional block per service (2-5 MIPS), node capacity 10-100 MIPS, link latency 1-10 ms, link capacity 10-100 Mbps; topology change at iteration 30,000",Optimal solver solution; RU-ARC (reward-unaware); NR-ARC (no RL agents),Normalised allocation cost; reward = average resource cost / allocated cost; supported user count,"Figure-only. The text claims near-optimal cost, recovery after the iteration-30,000 transition where RU-ARC fails, and that NR-ARC fluctuates more because of LLM instability. No numerical values are stated.","Single small-scale simulation (10 nodes/10 users); two figures with no numbers; no external orchestrator or standard DRL/optimisation baseline; exemplar bootstrapping requires an exact solver; no SLA object, no slicing, no standard management-plane mapping, no testbed.","The clearest published template for LLM-planner + RL-executor orchestration, and it exposes the open problems: quantitative benchmarking against external baselines, standard management-plane grounding, hallucination verification of planner decisions, and SLA-level scoring.",NA,https://doi.org/10.1109/MCOM.001.2400526
O34,AGILE-6G: Agentic AI for Autonomous Management of 6G Network/Application Services,NA,2025,IEEE (IEEE Xplore document 11318854),NA,Yes,6G,6G network/application services,E/F - agentic AI management of 6G services,Agentic AI framework for autonomous management of 6G network and application services,NA,NA,NA,NA,NA,NA,NA,Intended,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEEE Xplore document 11318854).,Agentic 6G service management is appearing in 2025-2026; SLA-level evaluation is the open part.,NA,https://ieeexplore.ieee.org/document/11318854
O35,Intelligent and Collaborative Orchestration of Network Slices,NA,2022,IEEE (IEEE Xplore document 9793722),10.1109/TSC.2022.3180831,Yes,5G,End-to-end slicing,B - optimisation/learning algorithm for collaborative slice orchestration,Intelligent and collaborative orchestration of network slices,NA,NA,NA,NA,NA,NA,NA,Partly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEEE Xplore document 9793722).,Collaborative slice orchestration across domains remains thinly evaluated.,NA,https://ieeexplore.ieee.org/abstract/document/9793722
O36,Machine Learning-Based Multi-Domain Actuation Orchestration in Support of End-to-End Service Quality-Assurance,NA,2022,IEEE (IEEE Xplore document 9983829),NA,Yes,5G,Multi-domain,B/D - ML-based multi-domain actuation orchestration for end-to-end service quality assurance,Machine-learning-based multi-domain actuation orchestration supporting end-to-end service quality assurance,NA,NA,NA,NA,NA,NA,NA,Yes (assurance loop),Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEEE Xplore document 9983829).,Directly targets the multi-domain assurance loop that AI-native orchestration must close; comparison against LLM-based approaches is an open opportunity.,NA,https://ieeexplore.ieee.org/document/9983829
O37,SafeSCHEMA: Multi-domain Orchestration of Slices based on SafeRL for B5G Networks,NA,2022,IEEE (IEEE Xplore document 10001219),NA,Yes,B5G,Multi-domain slices,B - SafeRL-based multi-domain slice orchestration,SafeSCHEMA: multi-domain slice orchestration using safe reinforcement learning,NA,NA,NA,NA,NA,NA,NA,Yes (RL loop),NA,Yes,NA,NA,NA,NA,Safe RL,NA,NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEEE Xplore document 10001219).,Safety-constrained RL orchestration is a key ingredient for trustworthy AI-native management and is rarely combined with LLM planning.,NA,https://ieeexplore.ieee.org/abstract/document/10001219
O38,Using Distributed Reinforcement Learning for Resource Orchestration in a Network Slicing Scenario,NA,2022,IEEE/ACM Transactions on Networking,NA,Yes,5G,Transport + core compute (single infrastructure),B - optimisation/learning algorithm usable by an orchestrator (distributed DRL resource allocation),"Link controllers and node controllers, each with actor-critic pairs per slice class and resource type (bandwidth, compute, memory); a central training manager collects observations offline and broadcasts updated policies.",Not implemented against a standard management plane; conceptually a slice broker above the infrastructure,"Link bandwidth, node computational capacity, node memory capacity","Per-flow demand vectors [throughput, compute, memory, delay] with Markov-modulated demand (10 states); local observations",Per-flow per-timeslot allocated resource vector,NR (abstract 'central database' for observations),Distributed inference with centralised offline training,Single domain with hierarchical slices/multiple tenants,Yes (per-timeslot reward; online training supported),"Yes - a performance function F in [0,1] where 1 means the SLA is fully met (smooth concave for eMBB, step function for URLLC)",Yes (eMBB and URLLC classes over one infrastructure),NR,NR,NR,Advantage Actor-Critic (A2C); transfer learning across topologies; genetic algorithms rejected as an online engine,Yes (DRL),Yes (cooperative multi-agent DRL),No,"Authors' own simulation; three topologies (Dumbbell, Triangle, Pyramid) plus a harder Pyramid+ variant","2-6 flows (scalability to 9); link rate 50 Gbps; core node 60 Gbps / 60 Gb; access node 20 Gbps / 20 Gb; propagation delay 0.1 ms; eMBB demand 0.30-42.5 Gbps at 20 ms; URLLC 2.08-10 Gbps at 1 ms; training 3-5x10^4 episodes of 50 slots at T=0.1 s, 500 test episodes",Static allocation; empirical heuristic; cross-topology transfer variants,Expected system utility E[Omega]; per-resource utility; probability Omega exceeds a threshold,DRL keeps Omega > 0.45 in almost 50% of test episodes with a 10% gain over the empirical algorithm; the empirical algorithm reaches Omega > 0.5 in 50% of episodes versus 0.65-0.7 for DRL; DRL trained on one topology generalises to the Pyramid topology without retraining; transfer learning raises E[Omega_c] by more than 5%; in the harder Pyramid+ scenario the heuristic slightly beats DRL.,"Static routes assumed; simulation only with 2-6 flows; no admission control; centralised observation database; numbers come from the pre-review 2021 preprint, so the published ToN version may differ.","Joint routing+placement+allocation, admission control, decentralised training, hard SLA enforcement and cross-domain closed loops remain open.",NA,https://doi.org/10.1109/TNET.2022.3187310
O39,LLM-Driven Multi-Agent Framework for Autonomous Network Slice Management: Architecture and Proof-of-Concept Experiments,NA,2026,IEEE (IEEE Xplore document 11573048),NA,Yes,5G/6G,Network slicing,F - LLM-driven multi-agent slice management,"LLM-driven multi-agent framework for autonomous network slice management, representing infrastructure as a graph",NA,NA,NA,NA,NA,NA,NA,Intended,NA,Yes,NA,NA,NA,NA,NA,Yes (multi-agent),Yes,NA,NA,NA,NA,NA,Retrieved at abstract level (IEEE Xplore document 11573048).,Multi-agent LLM slice management is the closest published combination to this PhD's target; its SLA-level evaluation needs verification.,NA,https://ieeexplore.ieee.org/abstract/document/11573048
O40,A Feasibility-Shielded Agentic AI Framework for 6G Self-Healing Core Networks,NA,2026,IEEE (IEEE Xplore document 11577510),NA,Yes,6G,Core network,E/F - feasibility-shielded agentic framework for self-healing core networks,Agentic AI with a feasibility shield for 6G self-healing core networks,NA,NA,NA,NA,NA,NA,NA,Yes (self-healing loop),NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Retrieved at metadata level (IEEE Xplore document 11577510).,Feasibility shielding is precisely the safety mechanism that agentic network control needs; combining it with optimisation-based feasibility (rather than learned shields) is open.,NA,https://ieeexplore.ieee.org/document/11577510
O41,ORION: Intent-Aware Orchestration in Open RAN for SLA-Driven Network Management,NA,2026,arXiv preprint (cs.NI),NA,No,5G/6G,O-RAN (RAN orchestration),F - LLM-based orchestrator (hierarchical MCP agents inside O-RAN SMO/RIC),"ORION: LLM-assisted intent orchestration for O-RAN. An MCP-based SMO layer performs semantic translation of natural-language intents into slice/QoS policies; a non-RT RIC rApp and a near-RT RIC xApp enforce them via A1 and E2. Intents are grounded in the CAMARA NetworkSliceBooking schema; validation/composition flows span SMO app, rApp and xApp.",O-RAN SMO + non-RT RIC + near-RT RIC (A1 and E2 enforcement),RAN slice resources and QoS parameters,Natural-language intents; CAMARA slice-booking schema; KPI telemetry,A1 policies and E2-level enforcement actions for slices,"A1, E2, O1, MCP tool interface, CAMARA NetworkSliceBooking",Hierarchical (SMO above non-RT RIC above near-RT RIC),Single RAN domain,"Yes - the paper positions enforcement plus KPI-driven corrective actions as the closed loop, though the measured evaluation focuses on provisioning and policy generation",Yes - SLA/SLO preservation is the stated motivation and intents carry KPI targets,Yes (eMBB/URLLC/mMTC slice intents),Yes,Yes,Yes,LLM-based translation with schema validation; no numerical optimiser,LLM,Yes (hierarchical agents over MCP tools),"Yes - six commercial models evaluated including GPT-5, Gemini 3 Pro, Claude Opus",Prototype combining MCP services with O-RAN-compliant control functions; resource overhead and end-to-end latency measured,NR,Comparison across six LLMs rather than against a non-LLM orchestrator,Policy generation success rate; translation fidelity against a 100-intent dataset; tool-use reliability; resource overhead; end-to-end latency; cost-performance trade-off,"100% policy-generation success rate for high-capacity models. 3GPP slice-type classification accuracy across 101 intents: Claude Opus 4.5 99%, GPT-5 96%, GPT-5 Nano 90%, Gemini 3 Pro 77%, Gemini 3 Flash 66%, Claude Sonnet 4.5 13%. KEY CLAIM: 'the primary bottleneck for intent-to-policy fidelity lies in the MCP tool orchestration layer rather than in the model's semantic understanding' - among models with >=97% prediction rate, accuracy spans 90-99%.","No open-weight, no small, and no fine-tuned models - says nothing about the compression/size question. The headline 100% figure is a tool-invocation success rate, not an end-to-end autonomy result. Preprint.","The closest published attempt to place an LLM agent inside a standard O-RAN management hierarchy. What is missing is exactly what a PhD could add: measuring whether the enforced policies actually deliver SLA-level outcomes, and comparing against classical/DRL optimisation on the same intents.",https://github.com/zanattabruno/analysis-orion,https://arxiv.org/abs/2603.03667
O42,"Advanced End-to-End Intent-Driven Dynamic Network Slicing: Challenges, Solutions, and Implementation",NA,2025,IEEE (IEEE Xplore document 11219256),NA,Yes,5G/6G,"End-to-end (RAN, transport, core)",D/F - intent-driven end-to-end slicing architecture with implementation,End-to-end intent-driven dynamic network slicing with an implementation discussion.,Intent-driven management across domains,Network slices,Operator intents,Slice configuration,NA,NA,NA,Intended (assurance discussed),Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retrieved at metadata level in this session; experimental depth not verified.,End-to-end intent-driven slicing is an active 2025-2026 direction; SLA-scored assurance remains the weak point.,NA,https://ieeexplore.ieee.org/abstract/document/11219256
