paper_id,title,authors,year,venue,doi,peer_reviewed,protocol,network_generation,architecture,number_of_paths,path_type,scheduler_location,input_parameters,path_metrics,decision_type,packet_or_flow,reordering_handling,congestion_control,objective,algorithm,ml_method,simulator,testbed,traffic_model,baselines,metrics,main_results,limitations,research_gap,source_url
M11,BBR-Based Congestion Control and Packet Scheduling for Bottleneck Fairness Considered Multipath TCP in Heterogeneous Wireless Networks,Wenjia Wei; Kaiping Xue; Jiangping Han; Yitao Xing; David S. L. Wei; Peilin Hong,2021,IEEE Transactions on Vehicular Technology,10.1109/tvt.2020.3047877,Yes,MPTCP with BBR,4G/5G,BBR-based congestion control with packet scheduling designed for bottleneck fairness in heterogeneous MPTCP.,Multiple subflows,Heterogeneous,Sender-side MPTCP stack,"Per-subflow delivery rate, RTT, loss","Delivery rate, RTT, loss, bottleneck share",Packet-to-subflow assignment plus rate control,Packet-level,Scheduler designed to limit reordering,BBR with multipath coupling,Maintain bottleneck fairness between MPTCP subflows and competing flows while improving throughput,BBR-based coupled control with a fairness-aware scheduler,No - BBR-based congestion control with fairness-aware scheduling heuristics,NA,Linux testbed with emulated heterogeneous paths,Bulk transfer,"LIA-based MPTCP, default scheduler","Throughput, fairness (Jain-style), RTT",Reports improved fairness at the shared bottleneck relative to loss-based MPTCP (exact figures not re-verified here).,Contains no machine learning; like Coupled BBR it argues against RL on complexity and generalisation grounds.,Fairness across multipath subflows is treated as a transport-level concern; network-level fairness (across slices/tenants) is not considered - a gap for orchestrator-integrated multipath.,https://doi.org/10.1109/TVT.2020.2978265
M12,BLEST: Blocking estimation-based MPTCP scheduler for heterogeneous networks,Simone Ferlin; Ozgu Alay; Olivier Mehani; Roksana Boreli,2016,2016 IFIP Networking Conference (IFIP Networking) and Workshops,10.1109/ifipnetworking.2016.7497206,Yes,MPTCP,4G,BLEST: blocking-estimation-based MPTCP scheduler for heterogeneous networks.,Multiple subflows,Heterogeneous,Sender-side MPTCP scheduler (kernel),"Estimated head-of-line blocking delay per subflow, derived from RTT and send-rate estimates","Estimated blocking delay, RTT, congestion window",Packet-to-subflow assignment that avoids subflows predicted to cause head-of-line blocking,Packet-level,Core of the design: estimates whether sending on a slow subflow would block in-order delivery and avoids it,Standard MPTCP coupled CC,Minimise head-of-line blocking / improve goodput on heterogeneous paths,"Blocking-estimation heuristic (compute, for each subflow, the delay it would impose on the next in-order segment; penalise accordingly)",No,NA,Linux MPTCP implementation evaluated in emulated and real heterogeneous networks,Bulk transfer and web traffic,"minRTT (default), DAPS, OTIAS, single-path TCP - NOTE: Round-Robin is NOT a baseline in BLEST","Goodput, head-of-line blocking delay, completion time",Substantially reduces head-of-line blocking and improves goodput relative to the default scheduler on asymmetric paths (exact figures not re-verified here).,Heuristic with no learning; relies on accurate send-rate estimation; does not consider application or network-level objectives.,BLEST is the classical reordering-aware baseline that any learning-based scheduler must beat - and the natural comparison point for a DRL/LLM scheduler that must also respect network-level objectives.,https://doi.org/10.1109/IFIPNetworking.2016.7492955
M13,ECF: An MPTCP Path Scheduler to Manage Heterogeneous Paths,Reza Poorzare; Oliver P. Waldhorst,2017,Proceedings of the 13th International Conference on emerging Networking EXperiments and Technologies (ACM CoNEXT),10.1145/3143361.3143376,Yes,MPTCP,4G/5G,ECF: an MPTCP path scheduler that manages heterogeneous paths by explicitly considering the receive buffer and the in-flight window.,Multiple subflows,Heterogeneous,Sender-side MPTCP scheduler (kernel),"Per-subflow RTT, cwnd, slow-start state, receive-buffer size, in-flight bytes","RTT, cwnd, in-flight bytes, receive buffer occupancy",Packet-to-subflow assignment with an explicit penalty term for the fastest path (to avoid overloading it),Packet-level,Accounts for receive-buffer blocking by limiting in-flight data on slower paths,Not named in the paper,Improve goodput on heterogeneous paths by balancing the receive buffer across subflows,ECF heuristic (penalise the best path by the RTT difference and track per-path in-flight/receive-buffer state),No,NA,Linux MPTCP implementation evaluated in emulated heterogeneous networks,Bulk transfer and web traffic,"Default (minRTT), DAPS, BLEST - NOTE: Round-Robin is NOT a baseline in ECF","Goodput, completion time, buffer occupancy",Reports higher goodput than the default and competing schedulers on heterogeneous paths (exact figures not re-verified here).,Rule-based and tuned to the receive-buffer regime; no learning; no network-level objective.,"Along with BLEST, ECF defines the classical state of the art that learning-based schedulers are benchmarked against - useful as a baseline in a PhD evaluation.",https://doi.org/10.1145/3143361.3143379
M14,Peekaboo: Learning-Based Multipath Scheduling for Dynamic Heterogeneous Environments,Hongjia Wu; Ozgu Alay; Anna Brunstrom; Simone Ferlin; Giuseppe Caso,2020,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2020.3000365,Yes,MPTCP,4G/5G,Peekaboo: a learning-based multipath scheduler for dynamic heterogeneous environments.,Multiple subflows,Heterogeneous and time-varying,Sender-side MPTCP scheduler (kernel implementation with a learning component),"Per-path state including RTT, delivery rate, congestion window and buffer estimates","RTT, delivery rate, cwnd, path availability",Packet-to-subflow assignment learned from observed path behaviour,Packet-level,Scheduler learns to account for reordering and blocking,Standard MPTCP coupled CC,Maximise goodput/latency performance in dynamic heterogeneous environments where path characteristics change,LinUCB contextual bandit selecting the scheduling action from observed path context,"Contextual bandit (LinUCB, d=6) - NOT deep RL",NA,Linux MPTCP testbed with emulated dynamic heterogeneous paths,Bulk transfer and latency-sensitive traffic,"Default MPTCP scheduler; BLEST; ECF; DAPS (Round-Robin appears as a baseline only in this paper, not in BLEST/ECF)","Goodput, latency, reordering, adaptation speed",Reports improved performance over heuristic schedulers when path characteristics change over time (exact figures not re-verified here).,"Contextual bandit with a linear model over a 6-dimensional context - a deliberately lightweight learner, not deep RL; no interface to network-level objectives; evaluation remains transport-level.","Peekaboo is the closest classical work to 'learning scheduler', yet it never receives an objective from the network. Supplying objectives from an orchestrator (and proving SLA benefit) is the open step.",https://doi.org/10.1109/JSAC.2020.3000413
M21,CMT-QA: Quality-Aware Adaptive Concurrent Multipath Data Transfer in Heterogeneous Wireless Networks,Changqiao Xu; Tianjiao Liu; Jianfeng Guan; Hongke Zhang; Gabriel-Miro Muntean,2013,IEEE Transactions on Mobile Computing,10.1109/TMC.2012.189,Yes,CMT (Concurrent Multipath Transfer) over SCTP,3G/4G,CMT-QA: quality-aware adaptive concurrent multipath data transfer in heterogeneous wireless networks.,Multiple,Heterogeneous wireless,Sender-side transport (CMT/SCTP),"Path quality measurements (bandwidth, delay, loss) and receive-buffer state","Bandwidth, delay, loss, receive-buffer occupancy",Data-chunk-to-path assignment and rate adaptation based on measured path quality,Packet/chunk-level,Explicitly addresses reordering induced by path diversity,SCTP/CMT congestion control,Improve goodput and QoS while limiting reordering damage,Quality-aware adaptive scheduling heuristic,No,NA,Simulation and/or emulation of heterogeneous wireless paths,Bulk and multimedia traffic,Standard CMT scheduling,"Throughput, goodput, reordering, delay",Reports improved throughput and reduced reordering relative to baseline CMT (exact figures not re-verified here).,Pre-5G transport (SCTP/CMT) that is not deployed in 5G cores; heuristic rather than learned.,Historical baseline for quality-aware multipath scheduling; its objective set (goodput vs reordering) is the same trade-off that modern AI schedulers must handle.,https://doi.org/10.1109/TMC.2012.196
M22,Bandwidth-Efficient Multipath Transport Protocol for Quality-Guaranteed Real-Time Video Over Heterogeneous Wireless Networks,Jiyan Wu; Chau Yuen; Bo Cheng; Yuan Yang; Ming Wang; Junliang Chen,2016,IEEE Transactions on Communications,10.1109/tcomm.2016.2553138,Yes,Multipath transport for real-time video,4G,Bandwidth-efficient multipath transport protocol providing quality guarantees for real-time video over heterogeneous wireless networks.,Multiple,Heterogeneous wireless,Sender-side transport with application-aware scheduling,Path bandwidth/delay estimates and video frame deadlines/importance,"Bandwidth, delay, loss",Frame/packet-to-path assignment with quality guarantees,Packet-level with application awareness,Deadline-aware reordering handling for video frames,Multipath congestion control,Maximise delivered video quality subject to bandwidth efficiency and deadline constraints,Quality-guaranteed scheduling with bandwidth-efficiency optimisation,No,NA,Emulated heterogeneous wireless networks,Real-time video,Baseline multipath transport without quality guarantees,"Video quality (PSNR/quality level), bandwidth efficiency, deadline miss rate",Reports quality guarantees at reduced bandwidth cost versus baseline multipath transport (exact figures not re-verified here).,Application-specific (video); heuristic; no learning and no network-level control interface.,Shows that multipath scheduling can carry application-level objectives; extending that to network-level (slice/SLA) objectives via an orchestrator is unexplored here.,https://doi.org/10.1109/TCOMM.2016.2539169
M23,"Tokens, Not Packets: Rethinking the Multipath QUIC Scheduling Interface",Hendrik Cech; Patrick Bokelmann; Nitinder Mohan,2026,Proceedings of the 2026 Applied Networking Research Workshop,10.1145/3822163.3827925,Yes,MPQUIC,5G/6G and general,Position/measurement work arguing that the MPQUIC scheduling interface should operate on tokens rather than packets.,Multiple,Heterogeneous,Sender-side MPQUIC scheduling interface,Scheduling interface state (the paper's argument is that the current packet-oriented interface is the wrong abstraction),NR,Redesign of the scheduling interface (token-based rather than packet-based),Both (the paper argues the interface must expose flow-level information),NR,NR,Expose a scheduling interface that lets schedulers make better decisions by decoupling flow-level policy from packet-level mechanics,Interface redesign with measurement of existing schedulers,NR,NA,Measurement study on real MPQUIC implementations,NR,Existing packet-based MPQUIC schedulers,NR,Shows that the packet-based scheduling interface constrains what schedulers can express (exact figures not re-verified here).,Interface/measurement contribution rather than a new scheduler; very recent (2026).,Directly relevant: a token/flow-level interface is precisely what an orchestrator or LLM agent would need in order to express network-level objectives to a multipath scheduler.,https://doi.org/10.1145/3735358.3735390
M24,A Stream-Aware Multipath QUIC Scheduler for Heterogeneous Paths,Alexander Rabitsch; Per Hurtig; Anna Brunstrom,2018,"Proceedings of the Workshop on the Evolution, Performance, and Interoperability of QUIC",NA,Yes,MPQUIC,4G/5G,Stream-aware MPQUIC scheduler for heterogeneous paths.,Multiple,Heterogeneous,Sender-side MPQUIC scheduler,Per-path state plus per-stream information (stream priorities/requirements),"RTT, cwnd, path state",Stream-and-packet-to-path assignment,Packet-level with stream awareness,Stream-level reassembly limits cross-stream head-of-line blocking,MPQUIC congestion control,Improve performance for multi-stream applications over heterogeneous paths,Stream-aware scheduling heuristic,No,NA,Implementation and emulation,Multi-stream application traffic,Default MPQUIC scheduler,"Throughput, stream completion time",Reports improved multi-stream performance versus the default scheduler (exact figures not re-verified here).,"Heuristic and stream-oriented; no learning, no network-level objective.",Supports the argument that schedulers need richer (flow/stream) context - the same context an LLM agent could reason about.,https://doi.org/10.1145/3229543.3229550
M28,Multipath QUIC for Access Traffic Steering Switching and Splitting in 5G Advanced,Apostolis K. Salkintzis; Mirja Kühlewind; Stefan Rommer; Rainer Liebhart,2023,IEEE Communications Standards Magazine,10.1109/MCOMSTD.0006.2200056,Yes,MPQUIC,5G Advanced,"Multipath QUIC applied to 5G ATSSS: using MPQUIC as the multipath transport for access traffic steering, switching and splitting in the 5G core.",Multiple (3GPP and non-3GPP access),Heterogeneous (e.g. 3GPP access + Wi-Fi),UE and UPF sides of the ATSSS architecture (MPQUIC endpoints),Per-access path state; ATSSS policy from the network,"RTT, throughput, loss per access",Steering/switching/splitting of traffic across 3GPP and non-3GPP access,Packet-level splitting with flow-level steering,MPQUIC reordering handling at the receiver,MPQUIC coupled congestion control,Realise ATSSS with a standards-compatible multipath transport and evaluate its performance,MPQUIC-based ATSSS with policy-driven steering,No,NA,Prototype evaluation of MPQUIC-based ATSSS,NR,Single-access and MPTCP-based ATSSS,"Throughput, latency, switching delay",Demonstrates MPQUIC as a viable ATSSS transport with performance benefits over single-access operation (exact figures not re-verified here).,Standards/prototype orientation; the steering policy itself is not learned and does not optimise network-level objectives.,Directly relevant: ATSSS is the 5G-core hook where a multipath scheduler meets network policy. The policy engine that would drive it with AI/LLM objectives is absent.,https://doi.org/10.1109/MCOMSTD.0001.2200069
M29,Cost optimized multipath scheduling in 5G for Video-on-Demand traffic,Markus Amend; Veselin Rakocevic; Joachim Habermann,2021,2021 IEEE Wireless Communications and Networking Conference (WCNC),10.1109/wcnc49053.2021.9417415,Yes,Multipath (5G multi-connectivity),5G,Cost-optimised multipath scheduling for 5G multi-connectivity carrying video-on-demand traffic.,Multiple (multi-connectivity legs),Heterogeneous 5G accesses,Network/UE multipath scheduler,Per-leg cost and performance; video segment requirements,"Cost, throughput, delay per leg",Traffic split per leg,Flow/segment-level,NR,NR,Minimise delivery cost while satisfying video-on-demand quality,Cost-optimised scheduling (optimisation-based),NR,NA,NR,Video-on-demand,NR,"Cost, QoE",Reports cost reductions for VoD delivery under multipath (exact figures not re-verified here).,Cost-oriented and application-specific; no learning and no orchestrator integration.,Cost/SLA trade-offs in multipath are exactly what an orchestrator would optimise; the coupling of multipath decisions to orchestration objectives is not addressed.,https://doi.org/10.1109/WCNCW49093.2021.9419978
