paper_id,title,authors,year,venue,doi,peer_reviewed,network_task,base_model,model_size,fine_tuning,finetuning_method,dataset,training_data_size,pruning,pruning_method,quantization,distillation,peft,lora,qlora,training_hardware,training_cost,inference_latency,model_size_after,accuracy,network_performance,baseline,main_results,limitations,research_gap,code_available,source_url
E26,LoRA: Low-Rank Adaptation of Large Language Models,NA,2022,International Conference on Learning Representations (ICLR),NA,Yes,Generic method (no network task) - foundational PEFT technique,NA,NA,Yes,Low-rank adaptation: freeze the pretrained weights and inject trainable rank-decomposition matrices into each layer,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generic ML method; no networking evaluation. Included because it is the adaptation technique used by most network-domain fine-tuning papers.,"LoRA is the default adaptation method in telecom-LLM work, yet at least two telecom studies report that it saturates on small models and prefer full fine-tuning - a tension that is unresolved for network-management tasks.",NA,https://arxiv.org/abs/2106.09685
E27,ORANSight-2.0: Foundational LLMs for O-RAN,NA,2025,IEEE Transactions on Machine Learning in Communications and Networking,10.1109/TMLCN.2025.3592658,Yes,i_network_llm_finetuning :: RANSTRUCT,18 open LLMs spanning 1B-70B,1B-70B,Yes,"QLoRA 4-bit fine-tuning, rank/alpha <= 256, 1 epoch",RANSTRUCT,"151500 instruction-answer pairs (58.6% srsRAN code, 41.4% O-RAN specifications)",No,No,Yes,No,Yes,Yes,Yes,"A SINGLE NVIDIA RTX 4090, 24 GB VRAM",1 epoch (wall-clock not reported),NA,NA,+5.421% over ChatGPT-4o and Gemini on ORANBench; +18.465% on srsRANBench,+5.421% over ChatGPT-4o and Gemini on ORANBench; +18.465% on srsRANBench,ChatGPT-4o; Gemini; 17 other open LLMs 1B-70B,+5.421% over ChatGPT-4o and Gemini on ORANBench; +18.465% on srsRANBench,"Benchmarks are domain QA/code benchmarks, NOT network KPIs or closed-loop RAN control. 'Foundational LLMs' means domain-adapted general LLMs. IMPORTANT: bibliographic data confirmed via Crossref; the technical figures (RTX 4090, RANSTRUCT size, accuracy deltas) came from a parallel full-text verification pass and should be treated as single-source until the PDF is checked directly.",NA,Yes - https://github.com/prnshv/ORAN-Bench-13K ; Hugging Face org NextGLab,Crossref record 10.1109/TMLCN.2025.3592658
E28,MERLOT: A Distilled LLM-based Mixture-of-Experts Framework for Network Traffic Classification,NA,2025,IEEE Globecom Workshops,10.1109/GCWkshps68340.2025.11591188,Yes,"ii_compression_for_networking_llms :: 10 encrypted traffic datasets: APP-53 2023, CSIC 2010, CSTNET 2023, CW-100 2018, DAPT 2020, DoHBrw 2020, ISCX Botnet 2014, ISCX Tor 2016, ISCX VPN 2016, USTC TFC 2016","GPT-2-base (12 layers, hidden dim 768, ~117M parameters)",117M (base); MERLOT variants 500M / 660M / 1.25B,NA,"Knowledge distillation (teacher-student, composite loss L = (1-alpha)*CE(student, hard label) + alpha*KL(student || teacher)) PLUS pruning of the MoE gating network ('a distilled, PRUNED GPT-2-base model') PLUS MoE with hard one-hot gating (exactly one expert active) PLUS architectural change (direct classification from the final decoder token instead of generative/prompt-based classification)","10 encrypted traffic datasets: APP-53 2023, CSIC 2010, CSTNET 2023, CW-100 2018, DAPT 2020, DoHBrw 2020, ISCX Botnet 2014, ISCX Tor 2016, ISCX VPN 2016, USTC TFC 2016",~527600 samples total: APP-53 109.8K/54 labels; CSIC 2010 34.5K/2; CSTNET 2023 97.6K/20; CW-100 2018 7.4K/100; DAPT 2020 10.0K/2; DoHBrw 2020 47.8K/2; ISCX Botnet 2014 25.0K/5; ISCX Tor 2016 40.0K/8; ISCX VPN 2016 64.8K/14; USTC TFC 2016 50.7K/20,Yes,"Knowledge distillation (teacher-student, composite loss L = (1-alpha)*CE(student, hard label) + alpha*KL(student || teacher)) PLUS pruning of the MoE gating network ('a distilled, PRUNED GPT-2-base model') PLUS MoE with hard one-hot gating (exactly one expert active) PLUS architectural change (direct classification from the final decoder token instead of generative/prompt-based classification)",No,Yes,No,No,No,NA,NA,'Consumes 85-90% less inference time and memory usage' than 7B TrafficLLM - no absolute ms value reported,"MERLOT 500M / 660M / 1.25B parameters (the MoE aggregates multiple distilled experts, so it is NOT sub-117M)",MERLOT (660M) F1 vs TrafficLLM (7B) vs ET-BERT: ISCX Tor 2016 0.9845/0.9810/0.9368; ISCX VPN 2016 0.9920/0.9970/0.9539; CSTNET 2023 0.9996/0.9599/0.9496; ISCX Botnet 2014 0.9992/0.9992/0.9489; USTC TFC 2016 0.9953/0.9950/0.9587; CIC-DoHBrw 2020 0.9999/0.9939/0.8467; DAPT 2020 0.9635/0.9810/0.9435; CSIC 2010 0.9906/0.9845/0.8995. MERLOT LOSES on APP-53 2023 (0.8601 vs 0.9320) and CW-100 2018 (0.8466 vs 0.9366); the 1.25B variant recovers to 0.8702/0.8892.,MERLOT (660M) F1 vs TrafficLLM (7B) vs ET-BERT: ISCX Tor 2016 0.9845/0.9810/0.9368; ISCX VPN 2016 0.9920/0.9970/0.9539; CSTNET 2023 0.9996/0.9599/0.9496; ISCX Botnet 2014 0.9992/0.9992/0.9489; USTC TFC 2016 0.9953/0.9950/0.9587; CIC-DoHBrw 2020 0.9999/0.9939/0.8467; DAPT 2020 0.9635/0.9810/0.9435; CSIC 2010 0.9906/0.9845/0.8995. MERLOT LOSES on APP-53 2023 (0.8601 vs 0.9320) and CW-100 2018 (0.8466 vs 0.9366); the 1.25B variant recovers to 0.8702/0.8892.,TrafficLLM (7B Llama2-based); ET-BERT (110M); NetGPT (117M) as context,MERLOT (660M) F1 vs TrafficLLM (7B) vs ET-BERT: ISCX Tor 2016 0.9845/0.9810/0.9368; ISCX VPN 2016 0.9920/0.9970/0.9539; CSTNET 2023 0.9996/0.9599/0.9496; ISCX Botnet 2014 0.9992/0.9992/0.9489; USTC TFC 2016 0.9953/0.9950/0.9587; CIC-DoHBrw 2020 0.9999/0.9939/0.8467; DAPT 2020 0.9635/0.9810/0.9435; CSIC 2010 0.9906/0.9845/0.8995. MERLOT LOSES on APP-53 2023 (0.8601 vs 0.9320) and CW-100 2018 (0.8466 vs 0.9366); the 1.25B variant recovers to 0.8702/0.8892.,"Loses on 2 of 10 datasets - compression is not uniformly lossless. No training hardware, no absolute latency, no compressed size in MB. Workshop paper, 5 pages.",NA,Yes - not found,https://ar5iv.labs.arxiv.org/html/2411.13004
E29,Distilling Large Language Models for Network Active Queue Management,NA,2026,IEEE/ACM Transactions on Networking,10.1109/TON.2026.3690076,Yes,ii_compression_for_networking_llms :: L4S (RFC 9330) active queue management with ECN marking (RFC 9331) + periodic packet dropping; FreeBSD-14 open-source implementation; DCTCP and UDP Prague,"Llama2-7B (primary), OPT-1.3B, GPT-2 (125M), T5-LLM (220M)","7B, 1.3B, 125M, 220M",Yes,"LoRA rank r=128 + data-driven reinforcement learning; improved state encoder mapping network metrics to token embeddings (4096-dim for Llama2); extended LLM head giving single-inference congestion decisions (enqueue/drop/ECN-mark). NO KD, NO pruning, NO quantization.",L4S (RFC 9330) active queue management with ECN marking (RFC 9331) + periodic packet dropping; FreeBSD-14 open-source implementation; DCTCP and UDP Prague,pre-collected traces from existing AQM algorithms; size NOT REPORTED,Yes,"LoRA rank r=128 + data-driven reinforcement learning; improved state encoder mapping network metrics to token embeddings (4096-dim for Llama2); extended LLM head giving single-inference congestion decisions (enqueue/drop/ECN-mark). NO KD, NO pruning, NO quantization.",Yes,No,Yes,Yes,No,"2 x NVIDIA A40 (48 GB). VRAM: Llama2 23.91 GB, OPT 7 GB, GPT-2 3.6 GB, T5-LLM 2.32 GB.",>20 hours for Llama2-7B vs sub-hour for OPT/GPT-2/T5,"Un-adapted Llama2-7B 0.200 s per answer; LoRA-adapted: Llama2 0.0391 s, OPT 0.0395 s, GPT-2 0.0414 s, T5-LLM 0.0411 s. ~80% inference-time reduction, ~5x speedup. LoRA gives -64% GPU memory and -15.1% training time.",UNCHANGED (7B). '99% reduction' refers to trainable parameters only.,"Llama2-7B 97.56% accuracy vs 82-83% plateau for OPT, GPT-2 and T5-LLM. LoRA reduces trainable params 7B -> ~70M (1%) while maintaining accuracy. Reduced delay variability and enhanced bandwidth utilisation across DCTCP and UDP Prague.","Llama2-7B 97.56% accuracy vs 82-83% plateau for OPT, GPT-2 and T5-LLM. LoRA reduces trainable params 7B -> ~70M (1%) while maintaining accuracy. Reduced delay variability and enhanced bandwidth utilisation across DCTCP and UDP Prague.","OPT-1.3B; GPT-2; T5-LLM; classical AQM: RED, CoDel, PIE, CAKE","Llama2-7B 97.56% accuracy vs 82-83% plateau for OPT, GPT-2 and T5-LLM. LoRA reduces trainable params 7B -> ~70M (1%) while maintaining accuracy. Reduced delay variability and enhanced bandwidth utilisation across DCTCP and UDP Prague.",NO COMPRESSION PERFORMED. 39 ms latency far above packet-processing budgets (sub-millisecond is future work). >20 h training for a marginal accuracy gain over much smaller models (97.56% vs 82-83%) is a poor cost/benefit trade the paper does not analyse.,NA,Yes - https://github.com/MPTCP-FreeBSD/L4S-LLM,"https://arxiv.org/html/2501.16734v3 (full text, verified by me)"
E30,SQLLM: A Secure and Quantized Framework for Large Language Models in 5G Private Network Operations,NA,2026,IEEE Transactions on Consumer Electronics,10.1109/TCE.2026.3657983,Yes,ii_compression_for_networking_llms :: NA,NA,NA,Yes,LoRA fine-tuning + STATIC quantisation with a dynamic smoothing factor alpha (migrates outlier variance from activations to weights) and hybrid per-tensor / per-token granularity,NA,NA,No,No,Yes,No,Yes,Yes,No,NA,NA,Reported as a metric in the abstract (inference time) but exact values not retrievable,VRAM consumption is a reported metric but exact values not retrievable,"Reports accuracy, VRAM consumption, inference time - exact values not verified","Reports accuracy, VRAM consumption, inference time - exact values not verified",NA,"Reports accuracy, VRAM consumption, inference time - exact values not verified","VERIFICATION GAP - abstract-level only (full text paywalled). NOTE: the HKUST Pure portal lists this under 'Department of Civil and Environmental Engineering', likely a portal indexing artifact - do not cite as an affiliation. Task is attack/anomaly classification of queries, not network configuration or closed-loop control.",NA,NA,Crossref record 10.1109/TCE.2026.3657983
E31,Toward 6G Edge Intelligence: Lightweight LLMs for Intent-Driven Network Management,NA,2026,IEEE Transactions on Mobile Computing,10.1109/TMC.2026.3678546,Yes,ii_compression_for_networking_llms :: KG-derived structured intent training dataset (application intents APPIs -> network service requests NSRs),Llama 3 foundation model (parameter count not reported in the retrieved record),NA,Yes,"Knowledge distillation (KD) combined with a knowledge graph (KG). Two-phase: (1) fine-tune the LLM with KG guidance in the cloud; (2) compress via KD, then deploy the distilled student on resource-constrained edge nodes. The KG formally describes relations among application scenarios, functional primitives, performance requirements within APPIs, and APPIs<->NSR correspondences, producing a structured intent training dataset.",KG-derived structured intent training dataset (application intents APPIs -> network service requests NSRs),NA,No,No,No,Yes,No,No,No,'cloud' fine-tuning then edge deployment - specific GPU type/count not reported in the record retrieved,NA,"'The distilled model reduces inference latency by 60% compared to full-scale LLMs, fulfilling the sub-100 ms requirement for 6G latency-sensitive services.'",NA,"95% accuracy for APPI understanding, surpassing DeepSeek and Qwen by an average of 8%","95% accuracy for APPI understanding, surpassing DeepSeek and Qwen by an average of 8%",DeepSeek; Qwen,"95% accuracy for APPI understanding, surpassing DeepSeek and Qwen by an average of 8%","Only the institutional-repository abstract was retrievable; full experimental detail (hardware, model size, dataset size, latency distributions) is behind the IEEE paywall. BEST AVAILABLE EVIDENCE for distillation in this corpus (60% latency reduction at 95% accuracy, IEEE TMC).",NA,NA,https://ro.ecu.edu.au/ecuworks2022-2026/8058/
E32,xApp distillation: AI-based conflict mitigation in B5G O-RAN,NA,2026,Computer Networks,10.1016/j.comnet.2025.111848,Yes,ii_compression_for_networking_llms :: mobile-env based simulation for AI-based conflict mitigation in B5G O-RAN,NA,NA,NA,"Knowledge distillation of xApp control policies; the distillation loss choice is examined explicitly ('When distilling policy from a teacher network, choosing distillation loss plays a crucial role in the process')",mobile-env based simulation for AI-based conflict mitigation in B5G O-RAN,NA,No,No,No,Yes,No,No,No,NA,NA,NA,NA,Authors acknowledge limitations of the mobile-env-based simulation; exact numbers not verified,Authors acknowledge limitations of the mobile-env-based simulation; exact numbers not verified,NA,Authors acknowledge limitations of the mobile-env-based simulation; exact numbers not verified,"VERIFICATION GAP - bibliographic data confirmed but not the numbers. Distils xApp CONTROL POLICIES, not LLMs - relevant as evidence that distillation is used for RAN control, but it is not LLM compression.",NA,NA,Crossref record 10.1016/j.comnet.2025.111848
E33,5G INSTRUCT Forge: An Advanced Data Engineering Pipeline for Making LLMs Learn 5G,NA,2025,IEEE Transactions on Cognitive Communications and Networking,10.1109/TCCN.2024.3516055,Yes,"i_network_llm_finetuning :: OAI Instruct, generated from 22 3GPP Technical Specifications used to develop OpenAirInterface (OAI)","Llama3-8B (16 GB), Solar-10.7B (21 GB), Mistral-7B (14 GB)","8B, 10.7B, 7B",Yes,"Freeze-tuning (partial-parameter freezing) in LLaMA Factory - LoRA EXPLICITLY REJECTED ('we opted not to use LoRA due to the significant domain shift'). Trainable params: Llama3 9%, Solar 12%, Mistral 11%; 4 epochs; lr 4e-5; per-device batch 4.","OAI Instruct, generated from 22 3GPP Technical Specifications used to develop OpenAirInterface (OAI)",~80 MB; evaluation >9000 Q&A pairs + 5G exam of ~200 questions (4 options each),No,No,No,No,Yes,Yes,No,"Training NOT REPORTED. Deployment/inference: 1 x NVIDIA A100 80 GB, temperature 0.7",NA,NA,NA,5G-aware fine-tuned LLMs outperform GPT-4 on 5G-specific tasks. ROUGE-L F1 0.55/0.58 vs GPT-4 0.35; BERTScore F1 close. Trainable-parameter ablation for Mistral (MMLU / 5G exam): 6% -> 21.99/164.0; 9% -> 22.45/160.0; 11% -> 19.84/101.0; 17% -> MMLU collapses to 14.74. Paper selects 11%.,5G-aware fine-tuned LLMs outperform GPT-4 on 5G-specific tasks. ROUGE-L F1 0.55/0.58 vs GPT-4 0.35; BERTScore F1 close. Trainable-parameter ablation for Mistral (MMLU / 5G exam): 6% -> 21.99/164.0; 9% -> 22.45/160.0; 11% -> 19.84/101.0; 17% -> MMLU collapses to 14.74. Paper selects 11%.,"GPT-4 (gpt-4-0125-preview); Llama3-8B, Solar-10.7B, Mistral-7B in default vs 5G-aware versions",5G-aware fine-tuned LLMs outperform GPT-4 on 5G-specific tasks. ROUGE-L F1 0.55/0.58 vs GPT-4 0.35; BERTScore F1 close. Trainable-parameter ablation for Mistral (MMLU / 5G exam): 6% -> 21.99/164.0; 9% -> 22.45/160.0; 11% -> 19.84/101.0; 17% -> MMLU collapses to 14.74. Paper selects 11%.,"The MMLU trade-off is severe and implicit: pushing trainable parameters beyond ~11% causes catastrophic forgetting (MMLU 14.74 at 17%). Hyperparameters tuned per model. No latency, no compression.",NA,NA,https://hal.science/hal-05045324v1/file/publi-8009.pdf
E34,SafeCOMM: A Study on Safety Degradation in Fine-Tuned Telecom Large Language Models,NA,2026,IEEE Wireless Communications and Networking Conference (WCNC),10.1109/WCNC65185.2026.11555432,Yes,"i_network_llm_finetuning :: TeleQnA (8k), TeleData (600k), TSpecLLM (80); new TeleHarm red-teaming benchmark; DirectHarm and HexPhi",General-purpose LLMs fine-tuned on telecom data; plus the publicly released Tele-LLMs,NA,Yes,"SFT on three telecom datasets, followed by three realignment defenses: SafeInstruct, SafeLoRA, SafeMERGE","TeleQnA (8k), TeleData (600k), TSpecLLM (80); new TeleHarm red-teaming benchmark; DirectHarm and HexPhi",8000 + 600000 + 80 samples (as reported),No,No,No,No,Yes,Yes,No,NA,NA,NA,NA,"Safety degrades even for light telecom domain adaptation. Continually-pretrained Tele-LLMs reach ~90% harmfulness, primarily due to omission of safety-focused instruction tuning. SafeInstruct/SafeLoRA/SafeMERGE restore safety without hurting task utility.","Safety degrades even for light telecom domain adaptation. Continually-pretrained Tele-LLMs reach ~90% harmfulness, primarily due to omission of safety-focused instruction tuning. SafeInstruct/SafeLoRA/SafeMERGE restore safety without hurting task utility.",Pre-fine-tuning (aligned) models; DirectHarm; HexPhi,"Safety degrades even for light telecom domain adaptation. Continually-pretrained Tele-LLMs reach ~90% harmfulness, primarily due to omission of safety-focused instruction tuning. SafeInstruct/SafeLoRA/SafeMERGE restore safety without hurting task utility.","A safety paper, not a compression paper - but highly citable for a limitations/risk section, and it directly implicates the Tele-LLMs recipe as unsafe.",NA,Yes - TeleHarm benchmark introduced; release URL not verified,https://arxiv.org/abs/2506.00062
E35,NetKD: Towards Resource-Efficient Encrypted Traffic Classification Using Knowledge Distillation for Language Models,NA,2024,IEEE International Conference on Computer Supported Cooperative Work in Design (CSCWD),10.1109/CSCWD61410.2024.10580837,Yes,Network traffic classification,Transformer student distilled from a larger transformer teacher,NA,NA,Knowledge distillation,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0.93 ms per packet,4.61% of teacher parameters,99.10% of teacher F1,"99.10% of teacher F1 at 4.61% of parameters, 7.33% of memory and 14.3x faster",NA,NA,Traffic classification rather than management; all figures are relative to an unspecified absolute baseline in the retrieved source.,"The best compression-to-quality ratio found in the networking corpus - evidence that distillation works for network *classification*, with no equivalent evidence for network *control decisions*.",NA,https://doi.org/10.1109/CSCWD61410.2024.10580837
E36,"TelcoLM: collecting data, adapting, and benchmarking language models for the telecom domain",NA,2024,arXiv preprint,NA,No,i_network_llm_finetuning :: Domain-specific telco corpus + instruction set,Llama-2-7b,7B,Yes,"DAPT (domain-adaptive pre-training / continual pretraining) + IAPT (instruction-adaptive pre-training). KEY FINDING: adaptation can be restricted to a single instruction-tuning step, discarding the need for fine-tuning on raw texts beforehand; IAPT alone is approximately equal to DAPT+IAPT. Blended domain + general instructions works best.",Domain-specific telco corpus + instruction set,800M tokens + 80000 instructions,No,No,No,No,No,No,No,2 x A100-80GB (DAPT) and 2 x A100-40GB (IAPT),NA,NA,NA,Domain-adapted models can challenge the large generalist models on downstream tasks requiring extensive telecom knowledge,Domain-adapted models can challenge the large generalist models on downstream tasks requiring extensive telecom knowledge,Larger generalist models,Domain-adapted models can challenge the large generalist models on downstream tasks requiring extensive telecom knowledge,Preprint and exact result tables not verified. The actionable claim (DAPT is unnecessary if IAPT is done well) directly contradicts the TelecomGPT three-stage recipe and deserves explicit comparison.,NA,NA,https://arxiv.org/abs/2412.15891
E37,A Survey on Model Compression for Large Language Models,NA,2024,Transactions of the Association for Computational Linguistics (TACL),10.1162/tacl_a_00704,Yes,Generic method survey (compression for LLMs),NA,NA,Surveyed,NA,NA,NA,Surveyed,NA,Surveyed,Surveyed,Surveyed,Surveyed,NA,NA,NA,NA,NA,NA,NA,NA,NA,Survey of generic LLM compression (TACL 2024); no networking content.,Provides the taxonomy of compression methods that network-domain papers apply piecemeal.,NA,https://doi.org/10.1162/tacl_a_00704
E38,LLM-Pruner: On the Structural Pruning of Large Language Models,NA,2023,Advances in Neural Information Processing Systems (NeurIPS),10.52202/075280-0950,Yes,Generic method (no network task) - structural LLM pruning,NA,NA,NA,NA,NA,NA,Yes,Structural pruning of LLM components (including attention heads) guided by the effect on the output,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generic NLP method; no networking evaluation.,Structural pruning of genuine LLMs is established in NLP; no networking paper in this corpus prunes a billion-parameter LLM and evaluates the network task.,NA,https://arxiv.org/abs/2305.11627
E39,Pruned Traffic Trees: Native Semantic Compression with a Protocol-Structured Model Family for Encrypted Traffic Classification,NA,2026,arXiv preprint (under review),NA,No,"ii_compression_for_networking_llms :: CSTNET-TLS1.3 and CipherSpectrum, under flow-disjoint and Strong Information (SII)-masked settings",Not a pretrained LLM - a protocol-structured model family built on Protocol Tree Graphs (PTGs) with flow-level self-supervised learning. Parameter count reported only as relative reductions.,NA,NA,"Structured pruning at the PROTOCOL level: learned field salience + TopK + k closure selects which protocol fields and structural contexts to retain, producing 'Distilled PTGs' (PTG-Ds). Plus width reduction via structure-aligned transfer, plus flow-level logits distillation. Three levels: PTT-Full -> PTT-Distilled -> PTT-Lite.","CSTNET-TLS1.3 and CipherSpectrum, under flow-disjoint and Strong Information (SII)-masked settings",not extracted,Yes,"Structured pruning at the PROTOCOL level: learned field salience + TopK + k closure selects which protocol fields and structural contexts to retain, producing 'Distilled PTGs' (PTG-Ds). Plus width reduction via structure-aligned transfer, plus flow-level logits distillation. Three levels: PTT-Full -> PTT-Distilled -> PTT-Lite.",No,Yes,No,No,No,NA,NA,8.75x / 8.46x CPU inference speedups,PTT-Lite: 80.3% fewer parameters (CSTNET-TLS1.3) and 61.3% fewer parameters (CipherSpectrum); 98.85% / 98.78% lower effective GFLOPs,Macro-F1: PTT-Full 0.9519 (CSTNET-TLS1.3) / 0.9416 (CipherSpectrum); PTT-Lite retains 0.9325 / 0.9136. So compression costs ~1.9 and ~2.8 Macro-F1 points for 80.3%/61.3% parameter reduction.,Macro-F1: PTT-Full 0.9519 (CSTNET-TLS1.3) / 0.9416 (CipherSpectrum); PTT-Lite retains 0.9325 / 0.9136. So compression costs ~1.9 and ~2.8 Macro-F1 points for 80.3%/61.3% parameter reduction.,"Existing compression methods that 'operate on weights, channels, hidden representations, or predictions'",Macro-F1: PTT-Full 0.9519 (CSTNET-TLS1.3) / 0.9416 (CipherSpectrum); PTT-Lite retains 0.9325 / 0.9136. So compression costs ~1.9 and ~2.8 Macro-F1 points for 80.3%/61.3% parameter reduction.,"Preprint under review (INFOCOM 2027), not peer-reviewed. The compressed model is a purpose-built protocol-structured architecture, NOT an LLM - transferability to LLM compression is an open question.",NA,Yes - not confirmed,https://arxiv.org/abs/2608.21874
E40,"Harnessing the Power of LLMs, Informers and Decision Transformers for Intent-driven and Energy-efficient Network Slicing",Ali; et al.,2025,arXiv preprint,NA,No,"i_network_llm_finetuning :: Custom dataset built from network simulations, in three segments: query-response pairs, intent type+magnitude labels, RAG corpus","LLaMA (used as the baseline in Fig. 6). EXACT VARIANT AND PARAMETER COUNT NOT REPORTED. The '10-billion parameter model' mentioned is a generic memory illustration, not the actual model.",NA,Yes,"QLoRA (all four components: 4-bit NormalFloat quantisation, double quantisation, paged optimisation, LoRA) + RAG module","Custom dataset built from network simulations, in three segments: query-response pairs, intent type+magnitude labels, RAG corpus",NA,No,No,Yes,No,Yes,Yes,Yes,NA,NA,NA,NA,"QLoRA fine-tuned vs base LLaMA: BERTScore 0.92 vs 0.86 (+6%); METEOR 0.89 vs 0.83; semantic similarity +9%. Predictive intent validation (Informer) 88% average accuracy. HDTGA orchestration vs baselines: throughput +19.3% (abstract) / +19.4% (body), delay -48.5%, energy efficiency +54.9%. NOTE: the body text reverses the delay/energy-efficiency percentages relative to the abstract - an internal inconsistency in the paper.","QLoRA fine-tuned vs base LLaMA: BERTScore 0.92 vs 0.86 (+6%); METEOR 0.89 vs 0.83; semantic similarity +9%. Predictive intent validation (Informer) 88% average accuracy. HDTGA orchestration vs baselines: throughput +19.3% (abstract) / +19.4% (body), delay -48.5%, energy efficiency +54.9%. NOTE: the body text reverses the delay/energy-efficiency percentages relative to the abstract - an internal inconsistency in the paper.",Base LLaMA (no fine-tuning); HRL with intent validation; HRL without intent validation; Vanilla Decision Transformer; LSTM and GPT-2 decoder-only transformer (for forecasting),"QLoRA fine-tuned vs base LLaMA: BERTScore 0.92 vs 0.86 (+6%); METEOR 0.89 vs 0.83; semantic similarity +9%. Predictive intent validation (Informer) 88% average accuracy. HDTGA orchestration vs baselines: throughput +19.3% (abstract) / +19.4% (body), delay -48.5%, energy efficiency +54.9%. NOTE: the body text reverses the delay/energy-efficiency percentages relative to the abstract - an internal inconsistency in the paper.","No base-model identification, no hardware, no dataset size, no latency - not reproducible as published. Simulation-based, not a live network. Preprint.",NA,Yes - not found,https://arxiv.org/abs/2505.01841
E41,Leveraging Multi-Agent System (MAS) and Fine-Tuned Small Language Models for Telecom Network Troubleshooting,NA,2025,arXiv preprint,NA,No,i_network_llm_finetuning :: Proprietary telecom troubleshooting documents (RAN power-system faults; Core PDU-session degradation) indexed into a HippoRAG knowledge graph,"Unsloth/DeepSeek-R1-Qwen-3-8B (8B, reasoning); also Qwen3-4B and Qwen3-1.7B for the size comparison. Orchestration LLM: GPT-4o mini","8B, 4B, 1.7B",Yes,"Two-stage: SFT (LoRA warm-up on labelled QA pairs) then RFT with LoRA + GRPO, in the TRL library with ZeRO Stage-2 DeepSpeed. Rewards: format rewards (regex/XML tags) + RAGAS-based rewards (completeness, relevancy, groundedness).",Proprietary telecom troubleshooting documents (RAN power-system faults; Core PDU-session degradation) indexed into a HippoRAG knowledge graph,not given here; the companion paper (arXiv:2509.25736 / arXiv:2607.02523) reports 50 SME-validated seed pairs + 500 synthetically generated RFT pairs,No,No,No,No,Yes,Yes,No,"7 x NVIDIA RTX A6000 (48 GB VRAM each). Allocation: 1 GPU vLLM Qwen3-Embedding-0.6B; 1 GPU vLLM Qwen3-8B (RAGAS judge, thinking disabled); 2 GPUs TRL-vLLM DeepSeek-R1-Qwen-3-8B.",Entire training process completes within 3 days with uniform chunking; ~20 hours to resume from a checkpoint,NA,NA,"Mean troubleshooting time reduced ~6x per node vs human engineers; accuracy improved 10% vs human-driven process. RFT for the 8B model: RAGAS reward 3.44 -> 5.19; Format reward 2.52 -> 5.31; Total reward 5.96 -> 10.51; reward std-dev 2.17 -> 0.38. Size scaling: 8B reaches peak reward ~10; 4B and 1.7B 'show modest improvements but consistently lower rewards'. Fine-tuned 8B judged comparable in quality to GPT-4o-mini, while the base model produces only generic high-level answers.","Mean troubleshooting time reduced ~6x per node vs human engineers; accuracy improved 10% vs human-driven process. RFT for the 8B model: RAGAS reward 3.44 -> 5.19; Format reward 2.52 -> 5.31; Total reward 5.96 -> 10.51; reward std-dev 2.17 -> 0.38. Size scaling: 8B reaches peak reward ~10; 4B and 1.7B 'show modest improvements but consistently lower rewards'. Fine-tuned 8B judged comparable in quality to GPT-4o-mini, while the base model produces only generic high-level answers.",Base (un-fine-tuned) DeepSeek-R1-Qwen-3-8B; GPT-4o-mini; Qwen3-4B; Qwen3-1.7B; human engineers,"Mean troubleshooting time reduced ~6x per node vs human engineers; accuracy improved 10% vs human-driven process. RFT for the 8B model: RAGAS reward 3.44 -> 5.19; Format reward 2.52 -> 5.31; Total reward 5.96 -> 10.51; reward std-dev 2.17 -> 0.38. Size scaling: 8B reaches peak reward ~10; 4B and 1.7B 'show modest improvements but consistently lower rewards'. Fine-tuned 8B judged comparable in quality to GPT-4o-mini, while the base model produces only generic high-level answers.","Proprietary dataset, no public code. Rewards are LLM/RAGAS-judged rather than ground-truth-labelled. The '6x faster / +10% accuracy' is vs human engineers, not vs an automated baseline. Preprint.",NA,Yes - not found (proprietary documents; Hypha and HippoRAG are OSS),https://ar5iv.labs.arxiv.org/html/2511.00651
