paper_id,title,authors,year,venue,doi,peer_reviewed,network_domain,task,model,model_size,open_or_closed,prompting,rag,tool_calling,function_calling,agent_architecture,number_of_agents,planner,executor,critic,memory,network_tools,network_actions,recommendation_or_execution,closed_loop,benchmark,dataset,metrics,llm_comparisons,network_metrics,hallucination_evaluation,latency,token_cost,baselines,code_available,limitations,research_gap,source_url
L11,LLMs for Network Engineering Automation: State of the Art and Research Directions,Steffen Fricke; Maxim Friesen; Jürgen Jasperneite,2026,NOMS 2026-2026 IEEE Network Operations and Management Symposium,10.1109/noms69089.2026.11668163,Yes,Network engineering automation,Survey of the state of the art and research directions for LLMs in network engineering automation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Survey; DOI not resolved in this session (NOMS 2026 record retrieved via OpenAlex).,Most recent consolidated view of LLMs for network engineering automation.,https://doi.org/10.1109/noms69089.2026.11668163
L12,A Comprehensive Survey on LLM‐Based Network Management and Operations,Jibum Hong; Nguyen Van Tu; James Won‐Ki Hong,2025,International Journal of Network Management,10.1002/nem.70029,Yes,Network management and operations,Comprehensive survey of LLM-based network management and operations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Survey (Wiley International Journal of Network Management).,Confirms that LLM-based network management is dominated by advisory and knowledge tasks.,https://doi.org/10.1002/nem.70029
L14,Intent‐Based Automated NFV Management Methods Using Large Language Models,Jibum Hong; Wonseok Choi; James Won‐Ki Hong,2026,International Journal of Network Management,10.1002/nem.70044,Yes,NFV management and orchestration,Intent-based automated NFV management using LLMs to ensure service level objectives,NA,NA,NA,NA,NA,NA,NA,LLM-based intent automation for NFV management,NA,NA,NA,NA,NA,NA,NA,NA,Intended (SLO assurance is the stated aim),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retrieved at abstract level; experimental depth unverified.,Intent-based NFV management with SLO objectives is close to this PhD's target; the strength of its network-level evidence needs verification.,https://doi.org/10.1002/nem.70044
L15,Large Language Models for Telecom: Forthcoming Impact on the Industry,Ali Maatouk; Nicola Piovesan; Fadhel Ayed; Antonio De Domenico; Merouane Debbah,2025,IEEE Communications Magazine,10.1109/mcom.001.2300473,Yes,Telecommunications industry,Discussion of the forthcoming impact of LLMs on the telecom industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magazine article: industry outlook rather than an experimental contribution.,Frames industry expectations that the research literature has not yet met on closed-loop management.,https://doi.org/10.1109/mcom.001.2300473
L17,TeleQnA: A Benchmark Dataset to Assess Large Language Models Telecommunications Knowledge,Ali Maatouk; Fadhel Ayed; Nicola Piovesan; Antonio De Domenico; Merouane Debbah; Zhi-Quan Luo,2026,IEEE Network,10.1109/mnet.2025.3576035,Yes,Telecommunications knowledge,TeleQnA benchmark for telecom knowledge of LLMs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TeleQnA,Public - HuggingFace netop/TeleQnA,NA,NA,NA,NA,NA,NA,NA,Yes - https://github.com/netop-team/TeleQnA,Static multiple-choice knowledge test; not a management benchmark.,Telecom knowledge benchmarks are mature; management benchmarks are not.,https://doi.org/10.1109/mnet.2025.3576035
L20,OperAID: Benchmarking LLM Agents for Autonomous Kubernetes Fault Remediation,Ariel Góes de Castro; Konstantinos Vandikas; Simone Ferlin; Marco Chiesa; Christian Esteve Rothenberg,2026,2026 IEEE 12th International Conference on Network Softwarization (NetSoft),10.1109/netsoft70012.2026.11603505,Yes,5G core on Kubernetes (autonomous fault remediation),Benchmarking LLM agents for autonomous Kubernetes fault remediation on a 5G core,NA,NA,NA,NA,NA,NA,NA,Agentic diagnosis and remediation loop,NA,NA,NA,NA,NA,NA,NA,Execution (remediation of a live deployment),"Yes - fault injection, diagnosis, remediation, execution-based verification","OperAID scenarios (NetworkPolicy blocking AMF-SMF SBI, missing SMF ConfigMap, UPF scaled to zero)",NA,Remediation success rate; per-run cost,Yes - 5 models x 2 tool conditions x 3 scenarios x 30 runs = 900 experiments,NA,NA,NA,NA,NA,Yes - https://github.com/EricssonResearch/operaid,"Faults are Kubernetes-level, not 3GPP protocol-level; no RAN; no SLA/KPI scoring.",The closest existing closed-loop 5G-core benchmark; it defines the boundary of what remains unbenchmarked.,https://doi.org/10.1109/netsoft70012.2026.11603505
L32,Telemetry and Agentic AI: Foundations for Optical Network Automation,Sergio Cruzes,2025,NA,10.36227/techrxiv.176539548.84734375/v1,Yes,Optical network automation,Telemetry and agentic AI as foundations for optical network automation,NA,NA,NA,NA,NA,NA,NA,Agentic AI over streaming telemetry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Article-level (TechRxiv) evidence; network-specific evaluation depth unverified.,Optical networks are ahead of 5G cores in telemetry-driven agentic automation - a useful template.,https://doi.org/10.36227/techrxiv.176539548.84734375/v1
L34,Tackling Ambiguity in User Intent for LLM-based Network Configuration Synthesis,Rajdeep Mondal; Nikolaj Bjorner; Todd Millstein; Alan Tang; George Varghese,2025,Proceedings of the 24th ACM Workshop on Hot Topics in Networks,10.1145/3772356.3772402,Yes,Network configuration synthesis,Tackling ambiguity in user intent for LLM-based network configuration synthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguity-handling evaluation for configuration synthesis (ACM workshop),NA,NA,NA,NA,NA,NA,NA,NA,NA,"Workshop paper focused on intent ambiguity, not network outcomes.",Intent ambiguity is a real obstacle for autonomous network agents and is rarely handled in 5G/6G management work.,https://doi.org/10.1145/3772356.3772402
L37,LLM-Powered Troubleshooting for Telecommunication Network Operation and Management: A Fault-Lifecycle Survey,Zheng Li,2026,NA,10.2139/ssrn.7438214,Yes,Telecommunication network operation and management,Survey of LLM-powered troubleshooting for telecom network operation and management (37 works screened),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Preprint survey (SSRN); organizes a scattered literature but reports no primary experiments.,Confirms that telecom troubleshooting with LLMs is scattered across sub-domains without a unified problem formulation or benchmark.,https://doi.org/10.2139/ssrn.7438214
L47,NIKA: A Network Arena for Benchmarking AI Agents on Network Troubleshooting,NA,2025,arXiv preprint (cs.NI),NA,No,Network troubleshooting / incident diagnosis (data centre to ISP networks),"Benchmarking LLM agents on network incident detection, fault localisation and root-cause identification","GPT-OSS, GPT-5, GPT-5-mini (as evaluated)",NR,Both,ReAct-style reasoning agent with a system prompt listing available tools,No,Yes - Model Context Protocol (MCP),Yes (MCP tools),ReAct reasoning agent connected to a network environment through an Agent Access Layer,1 (monolithic; the paper notes more complex agent graphs are supported),Implicit (ReAct reasoning),Yes (tool calls executed in the emulated network),No (the evaluator scores the final answer),Conversation history,"More than 30 monitoring and troubleshooting tools: sketches, In-band Network Telemetry, SDN controller APIs, switch CLIs","Read-only diagnosis in the benchmarked incidents (enable INT, query telemetry, probe paths) - detection, localisation and root-cause tasks",Execution of diagnostic actions against an emulated network; not remediation of a production network,"Yes for diagnosis (agent actions change telemetry collection), but no automated remediation loop","NIKA - hundreds of curated incidents over five network scenarios, 54 representative network issues, 640 distinct troubleshooting incidents",Public dataset of agent behaviour with more than 900 reasoning traces (Zenodo DOI 10.5281/zenodo.17971675),"Detection success, fault localisation accuracy, root-cause identification accuracy, time to detection, tool usage patterns",Yes - three models compared,Diagnostic outcomes rather than service KPIs (no SLA/latency/throughput scoring),Partly - wrong root causes are scored as errors,Reported indirectly via time to detection,No,Cross-model comparison; no non-LLM diagnostic baseline reported,Yes - https://github.com/sands-lab/nika,"Preprint (arXiv:2512.16381); incidents are IP/data-centre/campus/ISP scenarios - no 5G core, RAN or slice management; scores diagnosis, not service outcomes; no cost metric.","NIKA proves a curated, executable troubleshooting benchmark is feasible - and simultaneously shows that no equivalent exists for 5G/6G core or RAN management with SLA-level scoring.",https://arxiv.org/abs/2512.16381
L48,NetArena: Dynamic Benchmarks for AI Agents in Network Automation,NA,2026,International Conference on Learning Representations (ICLR),NA,Yes,Network automation and configuration (IP networks),"Dynamic benchmarking of AI agents on network automation tasks (configuration synthesis, fault diagnosis, traffic engineering, capacity planning)",Multiple LLM agents evaluated,NR,Both,Agent-specific,No,Yes,Yes,Agent-with-tools over emulated network scenarios,1 per task (agent frameworks compared),Agent-dependent,Yes,No,Agent-dependent,Emulated network control and telemetry APIs,Configuration and diagnosis actions applied in the emulated environment,Execution in emulation,Yes within the emulated scenario,"NetArena - dynamically generated tasks designed to resist pretraining contamination, with stated attention to statistical power",Generated at runtime (dynamic by design),"Task correctness, step-wise safety, latency; contamination and statistical-power analysis",Yes,Emulated network outcomes rather than SLA guarantees,"Safety is decoupled from correctness and scored, which catches unsafe steps",Yes,NR,Multiple LLM agents,Yes - https://github.com/Froot-NetSys/NetArena,"Peer-reviewed at ICLR 2026, but the scenarios are IP/enterprise/datacentre; the authors concede limited coverage of cross-domain scenarios; no 5G core, RAN, slicing or SLA-level outcome scoring.","NetArena is the strongest methodological template (dynamic generation, contamination control, safety decoupled from correctness) that a 5G/6G management benchmark should imitate.",https://arxiv.org/abs/2506.03231
L49,OperAID: Benchmarking LLM Agents for Autonomous Kubernetes Fault Remediation,NA,2026,IEEE International Conference on Network Softwarization (NetSoft),10.1109/NetSoft70012.2026.11603505,Yes,"5G Core (cloud-native, Kubernetes) network operations","Autonomous operation of a 5G core: fault injection, agentic diagnosis, remediation and execution-based verification","Five models evaluated, best reported as Qwen3.5-35B-A3B",NR (35B class for the best model),Both (open-weight model performs best),Agent prompting over an operational toolset,No,Yes,Yes,Agentic operator with diagnosis-then-remediation loop and execution-based verification,1,Yes (diagnosis planning),Yes (remediation commands),Verification step (execution-based),Run history,"Kubernetes and 5G-core operational tools (pod/service inspection, configuration inspection, scaling)",Real remediation of a running Open5GS + UERANSIM deployment on Kubernetes,Execution (closed loop against a live 5G core deployment),"Yes - fault injection, diagnosis, remediation, verification","OperAID scenarios: NetworkPolicy blocking AMF-SMF SBI (port 7777), missing SMF ConfigMap causing CrashLoopBackOff, UPF scaled to zero",Scenarios and Helm charts in the public repository,"Remediation success rate, cost per run",Yes - 5 models x 2 tool conditions x 3 scenarios x 30 runs = 900 experiments,Deployment-level health rather than 3GPP service KPIs,No,Partly (run cost reported),Yes (per-run cost),Same agent without tools; cross-model comparison,Yes - https://github.com/EricssonResearch/operaid,"Faults are Kubernetes-level (NetworkPolicy, ConfigMap, replica scaling), not 3GPP protocol-level (NAS/NGAP/PFCP/SBI semantics are not exercised); no RAN; no SLA/KPI scoring; venue reported inconsistently between the repository BibTeX and Crossref.","OperAID is the closest existing closed-loop 5G-core benchmark and it defines the boundary precisely: infrastructure remediation on a 5G core is benchmarked, 3GPP-level management with service-level outcomes is not.",https://doi.org/10.1109/NetSoft70012.2026.11603505
L51,Go Gentle Into the Final Dance: A Benchmark for Evaluating LLMs in Telecom (LDOT),NA,2026,IEEE Journal on Selected Areas in Communications,10.1109/JSAC.2025.3641905,Yes,"Telecommunications (reasoning, optimisation scenarios)","Static reasoning and knowledge evaluation of LLMs in telecom, including network-optimisation scenario questions",Multiple LLMs evaluated,NR,Both,"Task-specific (conceptual QA, math/logic reasoning, optimisation scenarios)",No,No,No,Single-model evaluation,1,No,No,No,No,No,None,Neither - evaluation suite,No,LDOT - a multi-part benchmark for evaluating LLMs in telecom,NR (dataset URL not verified),Accuracy per task category,Yes,No,No,No,No,Cross-model comparison,NA,"Static suite published in IEEE JSAC; scenarios are posed as questions rather than executed; no closed loop, no service-level outcomes.","Even the JSAC-level benchmark for telecom LLMs is static. That strengthens the case that an executable, SLA-scored 5G/6G management benchmark is a genuine contribution rather than a duplication.",https://doi.org/10.1109/JSAC.2025.3641905
L52,SADE: Symptom-Aware Diagnostic Escalation for LLM-Based Network Troubleshooting,NA,2026,IEEE Conference on Local Computer Networks (LCN),10.1109/LCN67947.2026.11660797,Yes,Network troubleshooting,Symptom-aware diagnostic escalation for LLM-based network troubleshooting (an agent design evaluated on NIKA),LLMs per the paper,NR,NR,Symptom-aware escalation strategy,NR,Yes,Yes,Agent that escalates diagnostic actions based on observed symptoms,1,Yes (escalation planning),Yes,NR,NR,Diagnostic tools exposed by NIKA,Diagnostic actions in the emulated network,Execution of diagnostics (not remediation),Within a diagnostic episode,NIKA,NIKA dataset,Diagnostic accuracy and escalation efficiency,Yes,No,No,NR,NR,Baseline agents on NIKA,NA,"An agent-design paper rather than a benchmark; inherits NIKA's scope (IP-network troubleshooting, no 5G core, no SLA scoring).",Shows agent design (how to sequence diagnostics) materially affects troubleshooting performance - a design axis that any 5G/6G management agent evaluation must control for.,https://doi.org/10.1109/LCN67947.2026.11660797
L53,TSpec-LLM: An Open-source Dataset for LLM Understanding of 3GPP Specifications,NA,2024,IEEE Globecom Workshops,10.1109/GCWkshp64532.2024.11101012,Yes,3GPP standards understanding,LLM understanding of 3GPP specifications; dataset construction and RAG evaluation,GPT-4 class and others,NA,Both,Zero-shot with retrieved specification text,Yes (the paper's focus is RAG over specifications),No,No,Retrieval-augmented QA,1,No,No,No,Retrieved context,No,None,Neither - knowledge/RAG evaluation,No,"TSpec-LLM dataset (about 30,137 3GPP documents, 13.5 GB)",TSpec-LLM,QA accuracy with and without retrieval,Yes,No,No,NR,NR,No-retrieval baselines,"Yes - Open-source dataset, questionnaire and prompts released (download3gpp 0.7.0 tooling); specific URLs not verified","RAG retrieval, not model adaptation - improves accuracy without changing model size, making it a direct ALTERNATIVE to compression for edge deployment. Used as the retrieval corpus by the NetSoft 2025 paper (#10).",Shows RAG over 3GPP is workable and materially improves accuracy - the enabling component for a standards-grounded management agent.,https://ar5iv.labs.arxiv.org/html/2406.01768
L54,Telco-RAG: Navigating the Challenges of Retrieval Augmented Generation for Telecommunications,NA,2024,IEEE Global Communications Conference (GLOBECOM),10.1109/GLOBECOM52923.2024.10901158,Yes,Telecommunications standards / knowledge,Retrieval-augmented generation over telecom standards (3GPP),Open LLMs with retrieval,NA,Open,RAG-specific prompting and retrieval strategy,Yes (core contribution),No,No,RAG pipeline tailored to telecom documents,1,No,No,No,Retrieved chunks,No,None,Neither - text generation/QA,No,Telecom standards QA,3GPP technical documents,Retrieval and answer quality,Yes,No,Partly (retrieval grounding),NR,NR,Vanilla RAG,Yes - https://github.com/netop-team/Telco-RAG,"No fine-tuning and no compression. The RAM-reducing neural router is adjacent evidence for deployment efficiency. WARNING: there is a DISTINCT paper called TelecomRAG (Yilma et al., ACM SIGCOMM CCR 54(3):18-23, 2024, DOI 10.1145/3711992.3711996) - do not conflate.",Telecom-specific RAG is being solved; the unsolved part is grounding *actions* (not answers) in standards and verifying them against network state.,https://arxiv.org/abs/2404.15939
L55,TelecomRAG: Taming Telecom Standards with Retrieval Augmented Generation and LLMs,NA,2025,ACM SIGCOMM Computer Communication Review,10.1145/3711992.3711996,Yes,Telecommunications standards / knowledge,RAG and LLM-based question answering over telecom standards,Open LLMs,NR,Open,RAG prompting,Yes,No,No,RAG pipeline,1,No,No,No,Retrieved context,No,None,Neither - QA,No,Telecom standards QA,NR,Answer accuracy,Yes,No,Partly,NR,NR,Standard RAG,NA,"Knowledge/QA contribution; no management action, no evaluation of network outcomes.",Confirms that retrieval over standards is maturing while standards-grounded *action generation and verification* remains open.,https://doi.org/10.1145/3711992.3711996
L58,NetIntent: Leveraging Large Language Models for End-to-End Intent-Based Networking,NA,2025,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2025.3642642,Yes,Intent-based networking (end-to-end),"End-to-end intent-based networking with LLMs, including intent translation and conflict detection; introduces the IBNBench benchmark inside the paper",33 LLMs evaluated (1.1B-70B),1.1B to 70B,Mostly open-weight,Task-specific intent-translation prompting,NR,Yes (interaction with ODL/ONOS controllers per the report),NR,LLM intent pipeline with controller integration,1 per task,Intent decomposition,Controller actions,Conflict detection component,NR,OpenDaylight / ONOS controller APIs,Intent deployment to SDN controllers,Execution against controllers (intent installation),Partly,IBNBench (within NetIntent),"IBNBench (new): Intent2Flow-ODL, Intent2Flow-ONOS, FlowConflict-ODL, FlowConflict-ONOS. Plus existing: Formal Specification, NFV Configuration.","Intent translation accuracy, conflict detection performance","Yes - 33 models, 1.1B-70B",No service-level metrics,No,NR,NR,Cross-model comparison,Yes - Yes - datasets and benchmarking results released (GitHub link referenced as [48]); NetIntent framework implementation released,"No fine-tuning, so it does not test whether a small fine-tuned model could replace a large prompted one. Results are highly prompt- and schema-sensitive, which the authors acknowledge.","A 33-model study is exactly the kind of evidence needed for model selection in network agents - and it shows larger is not reliably better, which motivates small/distilled network models.",https://ar5iv.labs.arxiv.org/html/2507.14398
L60,An Empirical Study of NetOps Capability of Pre-Trained Large Language Models (NetEval),NA,2023,arXiv preprint,NA,No,Network operations (NetOps) knowledge,Empirical study of the NetOps capability of pretrained LLMs (NetEval) - the earliest dedicated NetOps benchmark,26 LLMs evaluated,NR,Both,Question answering,No,No,No,Single-model QA,1,No,No,No,No,No,None,Neither - knowledge evaluation,No,"NetEval - 5,732 NetOps questions across five NetOps sub-domains",Public - HuggingFace NASP/neteval-exam,Accuracy,Yes - 26 LLMs; only GPT-4 was found human-competitive,No,No,No,No,Human expert performance,NA,"Preprint (arXiv:2309.05557), static QA, no agentic tool use and no 5G/6G specificity.","Establishes that NetOps knowledge evaluation predates the agent era; the field moved from knowledge to tool use, but not yet to closed-loop service outcomes.",https://arxiv.org/abs/2309.05557
L61,TeleCom-Bench: How Far Are Large Language Models from Industrial Telecommunication Applications?,NA,2026,ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD),10.1145/3770855.3817480,Yes,Telecom network operations (operator agent trajectories),"Benchmarking LLMs on authentic live-network operator agent trajectories: intent recognition, entity extraction, event verification, tool invocation, root-cause analysis, solution generation",Eight state-of-the-art LLMs evaluated,NR,Both,Task-specific,NR,Yes (tool invocation is one of the six tasks),NR,Agent trajectory evaluation,1,Evaluated,Evaluated (tool invocation task),No,Trajectory context,Operator agent tools (live-network trajectories),Tool invocation and solution generation are scored; not executed against a live network by the benchmark itself,Mixed - includes procedural execution tasks in the trajectory,No,"TeleCom-Bench - 22,678 samples across six tasks",Built from authentic live-network operator agent trajectories,"Per-task accuracy, including a reported 'universal Execution Wall': about 90% on linguistic interface tasks versus about 30% on procedural execution",Yes - eight SOTA LLMs,No,No,NR,NR,Cross-model comparison,Yes - https://github.com/ZTE-AICloud/TeleCom-Bench,KDD 2026 benchmark built from operator trajectories with a partially closed dataset; scores task-level correctness rather than resulting network service quality.,"The 'Execution Wall' (strong language understanding, weak procedural execution) is third-party evidence for exactly the gap this survey identifies: LLMs can talk about network operations far better than they can perform them.",https://doi.org/10.1145/3770855.3817480
