paper_id,title,authors,year,venue,doi,peer_reviewed,network_generation,network_domain,architecture,scheduler_location,problem,input_parameters,decision_variables,actions,objective,constraints,algorithm,optimization_method,ml_method,simulator,testbed,dataset,traffic_model,network_scale,baselines,metrics,main_results,limitations,research_gap,github,code_available,reproducibility_notes,source_url
F19,Latency-Aware Service Function Chain Placement in 5G Mobile Networks,Davit Harutyunyan; Nashid Shahriar; Raouf Boutaba; Roberto Riggio,2019,2019 IEEE Conference on Network Softwarization (NetSoft),10.1109/netsoft.2019.8806646,Yes,5G,Edge / core (SFC placement),5G mobile network with edge clouds; VNF/service-function chains placed across edge sites.,Orchestrator/placement engine (centralised),Latency-aware service function chain placement in 5G mobile networks: where to instantiate each VNF so that end-to-end latency budgets are met.,"SFC requests, node compute capacity, link delays, latency budgets.",VNF-to-node mapping (placement).,Instantiation decisions for each VNF of each chain.,Minimise end-to-end latency / maximise accepted chains.,"Node capacity, latency budget, chain ordering.",Placement optimisation (heuristic/exact) exposed through a NetSoft demo implementation.,Combinatorial optimisation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/NETSOFT.2019.8806679
F20,Joint Optimization of Service Function Chaining and Resource Allocation in Network Function Virtualization,Luhan Wang; Zhaoming Lu; Xiangming Wen; Raymond Knopp; Rohit Gupta,2016,IEEE Access,10.1109/access.2016.2629278,Yes,Generic/NFV,Core / cloud (NFV),NFV infrastructure with a centralised orchestrator jointly deciding chain composition and resource allocation.,NFV orchestrator,"Joint optimisation of service function chaining (which VNFs, in which order) and resource allocation (how much CPU/bandwidth each gets).","Service requests, VNF catalogue, server capacities, link capacities.","Chain composition, VNF placement, CPU and bandwidth allocation.",Deploy/compose chains and allocate resources.,Minimise total resource cost / maximise accepted services.,"Server and link capacities, chain dependency constraints, end-to-end delay.",Mixed-integer optimisation with a heuristic/decomposition solution.,MILP + heuristics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/ACCESS.2016.2646308
F21,Adaptive Service Function Chain Scheduling in Mobile Edge Computing via Deep Reinforcement Learning,Tianfeng Wang; Jiachen Zu; Guyu Hu; Dongyang Peng,2020,IEEE Access,10.1109/access.2020.3022038,Yes,5G,MEC / edge,Mobile edge computing with adaptive service function chain scheduling driven by DRL.,MEC orchestrator (centralised),Adaptive scheduling of service function chains in mobile edge computing under dynamic demand.,"Chain requests, edge node load, latency requirements, resource availability.",Chain placement/scheduling and resource assignment.,Deploy/migrate chain components.,Minimise service latency / cost while meeting SFC requirements.,"Edge node capacity, delay bounds, chain ordering.",Deep reinforcement learning for SFC scheduling.,DRL,Deep RL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/ACCESS.2020.3022706
F29,QoS-Aware and Reliable Traffic Steering for Service Function Chaining in Mobile Networks,Ruozhou Yu; Guoliang Xue; Xiang Zhang,2017,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2017.2760158,Yes,4G/5G,Mobile core / transport (SFC),Mobile network with service function chains for mobile traffic; traffic steering across chains.,Mobile network controller/orchestrator,QoS-aware and reliable traffic steering for service function chaining in mobile networks: choosing which chain instance handles each flow so that QoS and reliability targets hold.,"Flow QoS class, chain instance load, link/node failure state.",Flow-to-chain assignment (steering).,Steering decisions per flow.,"Maximise QoS satisfaction and reliability, minimise resource cost.","Chain capacity, QoS requirements, availability constraints.",Optimisation model with heuristic solution (QoS-aware and reliability-aware steering).,Combinatorial optimisation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/JSAC.2017.2774429
F30,Packet Scheduling Algorithms for Mixed Traffic Flow over HSDPA,Jianke Fan; Chen Tao,2007,"2007 IEEE 18th International Symposium on Personal, Indoor and Mobile Radio Communications",10.1109/pimrc.2007.4394293,Yes,3G/HSDPA,RAN (packet scheduling),HSDPA base station packet scheduler handling mixed traffic.,Node-B MAC-hs scheduler,Packet scheduling algorithms for mixed traffic (streaming + best-effort) over HSDPA.,"Queue states, channel quality, QoS class of each flow.",Which flow to serve and at what rate per TTI.,Per-TTI scheduling decision.,Balance QoS of streaming flows against best-effort throughput and fairness.,"HSDPA channel and code constraints, delay bounds for streaming.",Comparative study of packet scheduling algorithms (e.g. proportional fair and QoS-aware variants).,Heuristic scheduling rules,NA,NA,NA,NA,Mixed streaming + best-effort,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/ISCC.2007.4381499
F31,Joint Routing and Packet Scheduling For URLLC and eMBB Traffic in 5G O-RAN,Cheng Cheng Zhang; Kim Khoa Nguyen; Mohamed Cheriet,2022,IEEE International Conference on Communications (ICC) Workshops,10.1109/ICC45855.2022.9838575,Yes,5G,O-RAN (joint routing and packet scheduling),O-RAN with a near-real-time RIC controlling joint routing and packet scheduling for URLLC and eMBB traffic.,O-RAN near-RT RIC (xApp),Joint routing and packet scheduling for coexisting URLLC and eMBB traffic in 5G O-RAN.,"Per-flow latency budgets, queue states, radio link quality, slice/class of each flow.",Route selection and per-TTI packet scheduling for URLLC vs eMBB flows.,Routing and scheduling decisions at the RIC.,Minimise URLLC latency while preserving eMBB throughput.,"URLLC latency budget, radio resource limits, route feasibility.",Optimisation/heuristic joint routing-scheduling with O-RAN control-loop integration.,Combinatorial optimisation,NA,NA,NA,NA,Mixed URLLC + eMBB,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/ICCWorkshops53468.2022.9814680
F32,Enabling efficient routing for traffic engineering in SDN with Deep Reinforcement Learning,Xinglong Pei; Penghao Sun; Yuxiang Hu; Dan Li; Bo Chen; Le Tian,2024,Computer Networks,10.1016/j.comnet.2024.110220,Yes,Generic/SDN,Transport (SDN),SDN with a deep-RL routing agent for traffic engineering.,SDN controller,Efficient routing for traffic engineering in SDN using deep reinforcement learning.,"Traffic matrix, link utilisation/state.",Routing path per flow aggregate.,Path assignment.,Minimise congestion / maximise throughput.,"Link capacity, path feasibility.",Deep reinforcement learning routing agent.,DRL,Deep RL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1016/j.comnet.2024.110489
F38,End-to-end Network Slicing for 5G Mobile Networks,Akihiro Nakao; Ping Du; Yoshiaki Kiriha; Fabrizio Granelli; Anteneh Atumo Gebremariam; Tarik Taleb; Miloud Bagaa,2017,Journal of Information Processing,10.2197/ipsjjip.25.153,Yes,5G,End-to-end (RAN + core + transport),"End-to-end network slicing architecture spanning RAN, transport and core, with slice management functions.",Slice management/orchestration layer,End-to-end network slicing for 5G mobile networks: how to compose and manage slices across all network segments.,"Slice requests with QoS requirements, available resources per domain.",Slice composition and resource assignment per domain.,Slice instantiation and resource allocation.,Meet per-slice requirements while maximising infrastructure utilisation.,"Per-domain resource limits, isolation requirements.",Architectural design with resource-allocation procedures.,Combinatorial optimisation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.2197/ipsjjip.25.772
F41,Intelligent O-RAN Traffic Steering for URLLC Through Deep Reinforcement Learning,NA,2023,IEEE International Conference on Communications (ICC),10.1109/ICC45041.2023.10278981,Yes,5G,O-RAN (traffic steering),O-RAN with near-RT RIC xApp performing traffic steering for URLLC traffic.,O-RAN near-RT RIC xApp,"Intelligent traffic steering for URLLC in O-RAN, deciding which radio access node/interface carries each URLLC flow.","Per-UE/per-flow radio conditions, latency measurements, cell load, URLLC latency budget.",Traffic steering decision (which RAN node/interface serves each flow).,Steering the flow to a selected access point.,Minimise URLLC latency / maximise URLLC reliability.,"URLLC latency and reliability targets, radio resource limits.",Deep reinforcement learning (xApp logic) evaluated on an O-RAN testbed.,DRL,Deep RL,NA,O-RAN testbed (per the paper's own evaluation; exact platform not verified),NA,URLLC traffic,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/ICC45041.2023.10278981
F42,Empowering Traffic Steering in 6G Open RAN With Deep Reinforcement Learning,NA,2024,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3396273,Yes,6G,O-RAN (traffic steering),6G Open RAN architecture with deep-RL-driven traffic steering across RAN and non-RAN access.,O-RAN / Open RAN control layer,Traffic steering in 6G Open RAN: learning policies that assign traffic to access paths under dynamic conditions.,"Radio link states, load, flow requirements, historical performance.",Path/access selection per flow.,Traffic steering decisions.,Maximise throughput and satisfy QoS under heterogeneity.,"Radio resource limits, QoS requirements.",Deep reinforcement learning for traffic steering.,DRL,Deep RL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/TWC.2024.3396273
F43,SFCPlanner: An Online SFC Planning Approach With SRv6 Flow Steering,NA,2024,IEEE Transactions on Network and Service Management,10.1109/TNSM.2024.3392945,Yes,5G/6G transport,"Transport (SRv6, SFC)",SRv6-based transport network with a centralised online SFC planner steering flows through service chains.,Centralised SFC planner,Online planning of service function chains with SRv6 flow steering: deciding chain composition and SRv6 segment lists online.,"SFC requests, topology, segment-routing capability, node/link load.",Chain placement plus SRv6 segment list (flow steering path) per request.,Deploy chain and install SRv6 policy.,Minimise resource consumption / maximise accepted requests while meeting SFC requirements.,"Node/link capacity, latency budget, SRv6 SID list length.",Online planning algorithm (heuristic) with SRv6 flow steering.,Combinatorial optimisation,NA,NA,NA,NA,NA,NA,NA,NA,Not verified from the free record.,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/TNSM.2024.3392945
F44,Programmable and Customized Intelligence for Traffic Steering in 5G Networks Using Open RAN Architectures,NA,2023,IEEE Transactions on Mobile Computing,10.1109/TMC.2023.3266642,Yes,5G,O-RAN (traffic steering),"Open RAN architecture with programmable, customised intelligence for traffic steering.",O-RAN RIC / RAN controller,Making traffic steering in 5G Open RAN programmable and customised so that operators can define their own steering logic.,"RAN telemetry (per-UE radio conditions), flow requirements, policy configuration.",Steering policy parameters / per-flow access selection.,Traffic steering decisions.,Improve throughput and QoS satisfaction versus static steering.,"RAN resource limits, policy constraints.",Programmable control framework with custom intelligence modules.,NA,NA (programmability focus),NA,Open RAN experimental platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/TMC.2023.3272948
F47,NRflex: Enforcing network slicing in 5G New Radio,Karim Boutiba; Adlen Ksentini; Bouziane Brik; Yacine Challal; Amar Balla,2022,Computer Communications,10.1016/j.comcom.2021.09.034,Yes,5G,RAN (MAC / NR physical) with O-RAN control,"NRflex distributes components between the RIC and the gNB: a Slice Orchestrator, a Non-RT RIC (slice creation via O1), a Near-RT RIC hosting a Network Slicing Master and a BWP Manager, and the gNB hosting per-slice pre-processors, a BWP multiplexer and the MAC scheduler.",gNB MAC scheduler driven by RIC-side BWP/numerology reconfiguration,"Dynamically assign bandwidth parts and numerologies to running 5G NR slices such that each slice's QoS requirement (URLLC latency, eMBB throughput) is met while minimising PRBs consumed.","Per-slice throughput success rate, per-slice PDU deadline failure rate, E2 KPI feedback, UE-slice association",BWP size and numerology per slice; PRB allocation per logical channel,Re-adapt BWP size per slice and allocate PRBs to PDUs approaching their deadlines,"Enforce slice QoS (uRLLC deadline, eMBB throughput) while minimising PRBs allocated to eMBB slices","uRLLC maximum latency, eMBB desired throughput, NR numerology/BWP limits",Additive-increase control law for BWP size plus deadline-aware pre-processors and a BWP multiplexer; no learning,Heuristic control rules (explicitly not RL - the paper states there is no reward function),No,5G NR system-level simulation,NA,NA,Mixed eMBB and uRLLC slice traffic,Up to about 60 UEs,Standard (slice-agnostic) BWP allocation,Deadline failure rate; UE count supported at a given latency budget,"Deadline failure rate reaches zero for about 50 UEs (numerology 2) and 60 UEs (numerology 1), versus about 25 and 40 UEs under the standard scheme; under high load the advantage is 50 versus 20 UEs at a 5 ms budget and 20 versus 10 UEs at 1 ms.","Accepted-manuscript version read rather than the typeset version; RAN-only scope (core and transport explicitly out of scope); control law is a simple additive rule rather than an optimiser, and no learning is used.",A concrete example of RIC-driven slice resource control with a fixed control law. Replacing the rule with a learned or LLM-planned policy - and scoring the slice SLA outcome - is a natural next step.,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1016/j.comcom.2021.09.034
F48,Power Consumption-Aware 5G Edge UPF Selection using Deep Reinforcement Learning,Arturo Bellin; Nicola Di Cicco; Daniele Munaretto; Fabrizio Granelli,2024,IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN),10.1109/NFV-SDN61811.2024.10807472,Yes,5G,"5G core (user plane), edge-cloud",Edge-cloud 5G core deployment with multiple distributed UPF instances; a DRL agent selects the UPF for each new PDU session.,5G core control plane (SMF-side UPF selection at PDU session establishment),"UPF selection at PDU session establishment in an edge-cloud 5G core, minimising system power consumption while meeting latency and bandwidth requirements.","Real-time power consumption metrics from edge and cloud hosts, plus per-user latency and bandwidth requirements (5QI/QoS)",Which UPF instance serves the new PDU session,UPF selection per PDU session,Minimise total system power consumption subject to QoS satisfaction,Per-user latency and bandwidth requirements; host capacity,Deep reinforcement learning policy for the PDU session allocation problem,DRL,Deep RL,Simulation of an edge-cloud 5G core deployment (per the author accepted manuscript),NA,NA,NA,NA,Latency-greedy heuristic; latency-smart heuristic,Latency estimation error; energy consumption,1% latency error versus 14.3% for a latency-greedy heuristic and 0% for latency-smart; 20% less energy than the latency-smart heuristic. NEGATIVE RESULT: power-based and CPU-based PPO show no significant difference because the testbed hosts are identical hardware.,Selection only; simulation; the hardware-uniformity null result limits the generality of the power-aware claim.,"UPF selection is optimised for energy in isolation; joint UPF selection, scaling and per-flow scheduling under slice/SLA objectives - and coordination with an orchestrator - remains open.",NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/NFV-SDN61811.2024.10807472
F50,Satisfying Network Slicing Constraints via 5G MAC Scheduling,Marco Mandelli; Jeffrey G. Andrews; Sem Borst; Siegfried Klein,2019,IEEE INFOCOM,10.1109/INFOCOM.2019.8737604,Yes,5G,RAN (MAC layer) with slicing constraints,5G MAC scheduler that enforces network slicing constraints while allocating radio resources.,gNB MAC scheduler,How can a 5G MAC scheduler satisfy per-slice constraints while remaining efficient?,NA,NA,NA,NA,NA,Slice-constraint-aware MAC scheduling,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,"Abstract-only retrieval: no open-access copy exists (Unpaywall reports oa_status closed with zero OA locations, and no arXiv version).",Confirms the RAN scheduling / slice-constraint problem is well studied at the MAC layer; the coupling to core-side QoS-flow handling remains absent.,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/INFOCOM.2019.8737604
